Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
abalone,FPGA,23,3742,432,1,10.280581951141356,0.1287169456481933,0.5324291184218898,0.125,0.1496516062949269,0.125,0.1245304246482625
abalone,FPGA,28,3747,427,2,10.28044319152832,0.1271452903747558,0.5083532792881988,0.0913348946135831,0.1288890744032958,0.0913348946135831,0.0935648876300363
abalone,FPGA,28,3751,423,3,10.305811882019045,0.1262311935424804,0.5206463884964571,0.1182033096926714,0.1656290907871887,0.1182033096926714,0.1189526481986356
abalone,FPGA,28,3753,421,4,10.289955854415894,0.1259315013885498,0.5263773664257203,0.1068883610451306,0.138853393402087,0.1068883610451306,0.1091326418255206
abalone,FPGA,28,3755,419,5,10.314480543136597,0.1254355907440185,0.5173519044426621,0.1002386634844868,0.1215955222717296,0.1002386634844868,0.0938216758031272
abalone,FPGA,28,3757,417,6,10.30761694908142,0.1247553825378418,0.5226211936615771,0.1079136690647482,0.1503225815917878,0.1079136690647482,0.107917506589409
abalone,FPGA,28,3761,413,7,10.318360567092896,0.1237244606018066,0.5146341289582098,0.1016949152542373,0.1301561765694652,0.1016949152542373,0.0971616760802733
abalone,FPGA,28,3765,409,8,10.33420467376709,0.1224274635314941,0.5041370289471332,0.0929095354523227,0.105206681196228,0.0929095354523227,0.0853385516381989
abalone,FPGA,28,3766,408,9,10.34336233139038,0.1225893497467041,0.5117357043243981,0.0931372549019607,0.119833683612456,0.0931372549019607,0.0924445420915596
abalone,FPGA,28,3769,405,10,10.344347953796388,0.1215701103210449,0.5119544784328434,0.0888888888888888,0.130677418875755,0.0888888888888888,0.0905657716630814
appendicitis,FPGA,2,94,12,1,0.8345575332641602,0.0824038982391357,0.5,0.5833333333333334,0.625,0.5833333333333334,0.6008403361344539
appendicitis,FPGA,2,95,11,2,0.8222901821136475,0.0827949047088623,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
appendicitis,FPGA,2,95,11,3,0.8274025917053223,0.0826866626739502,1.0,1.0,1.0,1.0,1.0
appendicitis,FPGA,2,95,11,4,0.8273501396179199,0.0827257633209228,0.5277777777777778,0.5454545454545454,0.7181818181818183,0.5454545454545454,0.5974025974025975
appendicitis,FPGA,2,95,11,5,0.826197624206543,0.0829687118530273,0.9444444444444444,0.9090909090909092,0.9393939393939394,0.9090909090909092,0.9155080213903743
appendicitis,FPGA,2,96,10,6,0.8267343044281006,0.0826444625854492,0.6875,0.8,0.8,0.8,0.8
appendicitis,FPGA,2,96,10,7,0.8277914524078369,0.0826735496520996,0.9375,0.9,0.9333333333333332,0.9,0.9066666666666666
appendicitis,FPGA,2,96,10,8,0.8287498950958252,0.082979679107666,0.75,0.6,0.8666666666666666,0.6,0.6333333333333333
appendicitis,FPGA,2,96,10,9,0.8296370506286621,0.0826163291931152,0.9375,0.9,0.9333333333333332,0.9,0.9066666666666666
appendicitis,FPGA,2,96,10,10,0.8272850513458252,0.0836865901947021,0.625,0.7,0.7523809523809524,0.7,0.72
automobile,FPGA,6,141,18,1,0.843087911605835,0.0829877853393554,0.7616666666666667,0.6666666666666666,0.662037037037037,0.6666666666666666,0.6502645502645503
automobile,FPGA,6,141,18,2,0.8315484523773193,0.0836102962493896,0.8459259259259259,0.7222222222222222,0.7268518518518517,0.7222222222222222,0.7185185185185186
automobile,FPGA,6,141,18,3,0.8316318988800049,0.0831272602081298,0.8416666666666666,0.7777777777777778,0.8680555555555556,0.7777777777777778,0.7599715099715101
automobile,FPGA,6,143,16,4,0.8421096801757812,0.0853867530822753,0.4231770833333333,0.0625,0.0267857142857142,0.0625,0.0375
automobile,FPGA,6,143,16,5,0.8383867740631104,0.087024450302124,0.5233072916666667,0.125,0.140625,0.125,0.1083333333333333
automobile,FPGA,6,143,16,6,0.8373944759368896,0.0842688083648681,0.5459635416666667,0.1875,0.1927083333333333,0.1875,0.1651515151515151
automobile,FPGA,6,144,15,7,0.8404669761657715,0.0836095809936523,0.4245833333333333,0.0666666666666666,0.0533333333333333,0.0666666666666666,0.0592592592592592
automobile,FPGA,6,144,15,8,0.833409309387207,0.0832486152648925,0.3883333333333333,0.0,0.0,0.0,0.0
automobile,FPGA,6,145,14,9,0.8388726711273193,0.0835781097412109,0.4274553571428572,0.0714285714285714,0.0535714285714285,0.0714285714285714,0.0612244897959183
automobile,FPGA,6,146,13,10,0.834259033203125,0.0834052562713623,0.4591346153846154,0.0769230769230769,0.0384615384615384,0.0769230769230769,0.0512820512820512
