Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
appendicitis,FPGA,2,94,12,1,0.8345575332641602,0.08240389823913574,0.5,0.5833333333333334,0.625,0.5833333333333334,0.6008403361344539
appendicitis,FPGA,2,95,11,2,0.8222901821136475,0.0827949047088623,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
appendicitis,FPGA,2,95,11,3,0.8274025917053223,0.0826866626739502,1.0,1.0,1.0,1.0,1.0
appendicitis,FPGA,2,95,11,4,0.8273501396179199,0.08272576332092285,0.5277777777777778,0.5454545454545454,0.7181818181818183,0.5454545454545454,0.5974025974025975
appendicitis,FPGA,2,95,11,5,0.826197624206543,0.08296871185302734,0.9444444444444444,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743
appendicitis,FPGA,2,96,10,6,0.8267343044281006,0.08264446258544922,0.6875,0.8,0.8,0.8,0.8
appendicitis,FPGA,2,96,10,7,0.8277914524078369,0.08267354965209961,0.9375,0.9,0.9333333333333333,0.9,0.9066666666666666
appendicitis,FPGA,2,96,10,8,0.8287498950958252,0.08297967910766602,0.75,0.6,0.8666666666666666,0.6,0.6333333333333333
appendicitis,FPGA,2,96,10,9,0.8296370506286621,0.08261632919311523,0.9375,0.9,0.9333333333333333,0.9,0.9066666666666666
appendicitis,FPGA,2,96,10,10,0.8272850513458252,0.08368659019470215,0.625,0.7,0.7523809523809524,0.7,0.72
