Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
automobile,FPGA,6,141,18,1,0.843087911605835,0.08298778533935547,0.7616666666666667,0.6666666666666666,0.662037037037037,0.6666666666666666,0.6502645502645503
automobile,FPGA,6,141,18,2,0.8315484523773193,0.08361029624938965,0.8459259259259259,0.7222222222222222,0.7268518518518517,0.7222222222222222,0.7185185185185186
automobile,FPGA,6,141,18,3,0.8316318988800049,0.08312726020812988,0.8416666666666666,0.7777777777777778,0.8680555555555556,0.7777777777777778,0.7599715099715101
automobile,FPGA,6,143,16,4,0.8421096801757812,0.08538675308227539,0.4231770833333333,0.0625,0.026785714285714284,0.0625,0.037500000000000006
automobile,FPGA,6,143,16,5,0.8383867740631104,0.08702445030212402,0.5233072916666667,0.125,0.140625,0.125,0.10833333333333334
automobile,FPGA,6,143,16,6,0.8373944759368896,0.08426880836486816,0.5459635416666667,0.1875,0.19270833333333331,0.1875,0.16515151515151513
automobile,FPGA,6,144,15,7,0.8404669761657715,0.08360958099365234,0.4245833333333333,0.06666666666666667,0.05333333333333334,0.06666666666666667,0.05925925925925926
automobile,FPGA,6,144,15,8,0.833409309387207,0.08324861526489258,0.3883333333333333,0.0,0.0,0.0,0.0
automobile,FPGA,6,145,14,9,0.8388726711273193,0.08357810974121094,0.4274553571428572,0.07142857142857142,0.05357142857142857,0.07142857142857142,0.06122448979591837
automobile,FPGA,6,146,13,10,0.834259033203125,0.0834052562713623,0.4591346153846154,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.05128205128205128
