Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
balance,FPGA,3,562,63,1,0.8332555294036865,0.08233356475830078,0.6461412151067323,0.6507936507936508,0.7764951098284432,0.6507936507936508,0.7062713974478682
balance,FPGA,3,562,63,2,0.8340320587158203,0.08307671546936035,0.6892446633825943,0.7301587301587301,0.7915136133929962,0.7301587301587301,0.7553927553927554
balance,FPGA,3,562,63,3,0.8320684432983398,0.0835113525390625,0.6288998357963875,0.6190476190476191,0.7663526949241235,0.6190476190476191,0.6829437229437231
balance,FPGA,3,562,63,4,0.8321692943572998,0.08985304832458496,0.6461412151067323,0.6507936507936508,0.7793650793650794,0.6507936507936508,0.703271784904438
balance,FPGA,3,562,63,5,0.8363914489746094,0.08296751976013184,0.6666666666666667,0.6825396825396826,0.8105926994815884,0.6825396825396826,0.7391512160419724
balance,FPGA,3,562,63,6,0.8316929340362549,0.08324074745178223,0.6219211822660098,0.6031746031746031,0.787142857142857,0.6031746031746031,0.680907989298012
balance,FPGA,3,562,63,7,0.8337464332580566,0.0837559700012207,0.6408045977011494,0.6349206349206349,0.7996371882086167,0.6349206349206349,0.7065020576131688
balance,FPGA,3,562,63,8,0.8380990028381348,0.08295679092407227,0.6305418719211822,0.6190476190476191,0.7812244897959183,0.6190476190476191,0.689453262786596
balance,FPGA,3,564,61,9,0.8315114974975586,0.08310985565185547,0.6347336065573771,0.6229508196721312,0.7928464977645306,0.6229508196721312,0.6977049180327869
balance,FPGA,3,565,60,10,0.8285586833953857,0.08246850967407227,0.6642857142857143,0.6833333333333333,0.8308080808080808,0.6833333333333333,0.7495384615384616
