Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
banana,FPGA,2,4769,531,1,5.186082363128662,0.08252930641174316,0.8382568044282559,0.8380414312617702,0.8391576792603054,0.8380414312617702,0.8383017813272573
banana,FPGA,2,4769,531,2,5.304229974746704,0.0827324390411377,0.8760647603751398,0.8775894538606404,0.8775465608303441,0.8775894538606404,0.8775648685810427
banana,FPGA,2,4769,531,3,5.243794202804565,0.08260154724121094,0.8492844236670778,0.8493408662900188,0.8501325197611179,0.8493408662900188,0.8495433593348405
banana,FPGA,2,4769,531,4,5.256076812744141,0.08270931243896484,0.8601829810422462,0.8587570621468926,0.8607331057509455,0.8587570621468926,0.859059335867959
banana,FPGA,2,4770,530,5,5.27000880241394,0.08292222023010254,0.8617906066536204,0.8622641509433963,0.8626606313981678,0.8622641509433963,0.8623853193605857
banana,FPGA,2,4770,530,6,5.2985758781433105,0.08328819274902344,0.8913606538505813,0.8905660377358491,0.8915469885134873,0.8905660377358491,0.8907386440341393
banana,FPGA,2,4771,529,7,5.253118991851807,0.08277392387390137,0.8463239119126061,0.8487712665406427,0.848610977415021,0.8487712665406427,0.8486421234624245
banana,FPGA,2,4771,529,8,5.204887390136719,0.082794189453125,0.8588593144904918,0.8582230623818525,0.8594604707473917,0.8582230623818525,0.8584699814290347
banana,FPGA,2,4771,529,9,5.338955402374268,0.08288741111755371,0.872557944627478,0.8733459357277883,0.8735450284862082,0.8733459357277883,0.8734172291098573
banana,FPGA,2,4771,529,10,5.328093767166138,0.0826406478881836,0.8564750592451305,0.8582230623818525,0.8581718585477269,0.8582230623818525,0.8581943693386962
