Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
bands,FPGA,2,328,37,1,0.8397171497344971,0.0829768180847168,0.7065217391304348,0.7567567567567568,0.7605105105105106,0.7567567567567568,0.7422409621898112
bands,FPGA,2,328,37,2,0.8300676345825195,0.08287715911865234,0.7919254658385093,0.8108108108108109,0.8090783090783091,0.8108108108108109,0.8093199582561286
bands,FPGA,2,328,37,3,0.8324880599975586,0.08341121673583984,0.8493788819875776,0.8648648648648649,0.8640852390852392,0.8648648648648649,0.8637999701829489
bands,FPGA,2,328,37,4,0.8340258598327637,0.0832366943359375,0.7484472049689441,0.7567567567567568,0.7608517608517609,0.7567567567567568,0.7582479030754893
bands,FPGA,2,328,37,5,0.8365046977996826,0.08340620994567871,0.5698757763975155,0.6216216216216216,0.6036036036036035,0.6216216216216216,0.6052252252252251
bands,FPGA,2,329,36,6,0.8338329792022705,0.09052467346191406,0.7040133779264213,0.75,0.7442307692307693,0.75,0.7413487133984028
bands,FPGA,2,329,36,7,0.8378138542175293,0.08323049545288086,0.6053511705685619,0.6666666666666666,0.6502057613168725,0.6666666666666666,0.6496969696969698
bands,FPGA,2,329,36,8,0.8379037380218506,0.08370351791381836,0.7809364548494983,0.8055555555555556,0.8032407407407408,0.8055555555555556,0.8037352245862883
bands,FPGA,2,329,36,9,0.8410625457763672,0.08336877822875977,0.6555183946488294,0.6666666666666666,0.6793650793650793,0.6666666666666666,0.670995670995671
bands,FPGA,2,329,36,10,0.8334555625915527,0.08352208137512207,0.6655518394648829,0.7222222222222222,0.713991769547325,0.7222222222222222,0.7080808080808081
