Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
breast,FPGA,2,248,29,1,0.8266458511352539,0.08254671096801758,0.7027777777777777,0.7586206896551724,0.7522577996715928,0.7586206896551724,0.7544649483005986
breast,FPGA,2,249,28,2,0.8364760875701904,0.08330011367797852,0.625,0.6785714285714286,0.6908939014202173,0.6785714285714286,0.6839043309631545
breast,FPGA,2,249,28,3,0.8320872783660889,0.08304810523986816,0.5625,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
breast,FPGA,2,249,28,4,0.8394858837127686,0.08335232734680176,0.5125,0.5714285714285714,0.6015873015873016,0.5714285714285714,0.5839598997493735
breast,FPGA,2,249,28,5,0.8380858898162842,0.08348584175109863,0.6125,0.6071428571428571,0.6813186813186813,0.6071428571428571,0.6258503401360545
breast,FPGA,2,249,28,6,0.8381054401397705,0.0905306339263916,0.475,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
breast,FPGA,2,250,27,7,0.8382866382598877,0.08347892761230469,0.4144736842105263,0.48148148148148145,0.5145969498910675,0.48148148148148145,0.49588477366255157
breast,FPGA,2,250,27,8,0.8394012451171875,0.08386969566345215,0.45723684210526316,0.5925925925925926,0.539057239057239,0.5925925925925926,0.560489194635536
breast,FPGA,2,250,27,9,0.8423981666564941,0.08388566970825195,0.48684210526315785,0.48148148148148145,0.5718355718355718,0.48148148148148145,0.5035774410774411
breast,FPGA,2,250,27,10,0.8341736793518066,0.08324360847473145,0.5460526315789473,0.6666666666666666,0.6303030303030304,0.6666666666666666,0.6404002501563477
