Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
bupa,FPGA,2,310,35,1,0.8302557468414307,0.08309769630432129,0.525,0.5142857142857142,0.5357142857142857,0.5142857142857142,0.5142857142857142
bupa,FPGA,2,310,35,2,0.8473782539367676,0.08353829383850098,0.6916666666666667,0.6857142857142857,0.6988795518207283,0.6857142857142857,0.6872586872586873
bupa,FPGA,2,310,35,3,0.8397729396820068,0.08353972434997559,0.4833333333333333,0.4857142857142857,0.49393090569561154,0.4857142857142857,0.48825187969924805
bupa,FPGA,2,310,35,4,0.8427536487579346,0.08342719078063965,0.6833333333333335,0.6857142857142857,0.6889097744360902,0.6857142857142857,0.6867541061089448
bupa,FPGA,2,310,35,5,0.8380076885223389,0.0836799144744873,0.4666666666666667,0.4857142857142857,0.4765234765234765,0.4857142857142857,0.47959183673469374
bupa,FPGA,2,311,34,6,0.8348240852355957,0.08366155624389648,0.5642857142857143,0.5882352941176471,0.5802139037433155,0.5882352941176471,0.5822021116138762
bupa,FPGA,2,311,34,7,0.8402678966522217,0.09104132652282715,0.5357142857142857,0.5294117647058824,0.5506535947712418,0.5294117647058824,0.5326797385620915
bupa,FPGA,2,311,34,8,0.8326561450958252,0.08522796630859375,0.6571428571428573,0.6470588235294118,0.6699346405228759,0.6470588235294118,0.6495098039215685
bupa,FPGA,2,311,34,9,0.8416833877563477,0.08351993560791016,0.6964285714285714,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
bupa,FPGA,2,311,34,10,0.8371164798736572,0.08346724510192871,0.5035714285714286,0.5294117647058824,0.5191622103386809,0.5294117647058824,0.5225166989872873
