Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
car,FPGA,4,1554,174,1,1.6837365627288818,0.08307123184204102,0.8199040017221836,0.7988505747126436,0.8184789939008574,0.7988505747126436,0.8044826509140864
car,FPGA,4,1554,174,2,1.6870744228363037,0.08423638343811035,0.7726455884763095,0.7873563218390804,0.8049263615711586,0.7873563218390804,0.7945585909804855
car,FPGA,4,1554,174,3,1.6854188442230225,0.08331131935119629,0.7463381852096587,0.7413793103448276,0.7725840783312049,0.7413793103448276,0.7524218099870581
car,FPGA,4,1554,174,4,1.676398515701294,0.0835573673248291,0.8458169022432347,0.7988505747126436,0.8227533960292581,0.7988505747126436,0.8072273640102765
car,FPGA,4,1555,173,5,1.6704537868499756,0.08466577529907227,0.8586320935381974,0.8208092485549133,0.8408693483188239,0.8208092485549133,0.8250662269164092
car,FPGA,4,1556,172,6,1.6821057796478271,0.08334994316101074,0.8425920172331655,0.8197674418604651,0.8606286854833366,0.8197674418604651,0.8301368649920365
car,FPGA,4,1556,172,7,1.6780216693878174,0.08332681655883789,0.8216760127784385,0.8313953488372093,0.8582536803925751,0.8313953488372093,0.8374145457429225
car,FPGA,4,1556,172,8,1.6720032691955566,0.08435773849487305,0.7964311896484757,0.813953488372093,0.8144864341085272,0.813953488372093,0.8140004998057686
car,FPGA,4,1556,172,9,1.6674957275390625,0.08358502388000488,0.7817517619245115,0.7616279069767442,0.7890430761594162,0.7616279069767442,0.7714918926940824
car,FPGA,4,1557,171,10,1.6828649044036865,0.08351755142211914,0.8213305231163872,0.7953216374269005,0.83585030953452,0.7953216374269005,0.8086714656191445
