Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
chess,FPGA,2,2876,320,1,6.666630983352661,0.0903770923614502,0.9153262103244492,0.915625,0.9156181469298245,0.915625,0.9156126131636897
chess,FPGA,2,2876,320,2,6.480715036392212,0.08440876007080078,0.934934053461704,0.934375,0.9348889963275511,0.934375,0.9344038619415749
chess,FPGA,2,2876,320,3,6.417452335357666,0.08374238014221191,0.9210402723963836,0.921875,0.9221819021055939,0.921875,0.921802264330305
chess,FPGA,2,2876,320,4,6.531449317932129,0.08517074584960938,0.9218621580368674,0.921875,0.9219128950868409,0.921875,0.921884934608876
chess,FPGA,2,2876,320,5,6.604164361953735,0.08597636222839355,0.91205823646824,0.9125,0.9125166542576121,0.9125,0.9124725877192983
chess,FPGA,2,2876,320,6,6.801687955856323,0.08875775337219238,0.9153262103244492,0.915625,0.9156181469298245,0.915625,0.9156126131636897
chess,FPGA,2,2876,320,7,6.559583425521851,0.08546805381774902,0.9188681460608196,0.91875,0.9188599706744867,0.91875,0.9187690697856361
chess,FPGA,2,2877,319,8,6.592085838317871,0.08588480949401855,0.9254845572013868,0.9247648902821317,0.9254991113682023,0.9247648902821317,0.9248048459855617
chess,FPGA,2,2877,319,9,6.54235053062439,0.08517169952392578,0.9060431768042863,0.9059561128526645,0.9060755336617407,0.9059561128526645,0.905980181096875
chess,FPGA,2,2878,318,10,6.471051454544067,0.08386921882629395,0.904922320862397,0.9056603773584906,0.9058133605303416,0.9056603773584906,0.9055929919137465
