Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
cleveland,FPGA,5,265,32,1,0.8298377990722656,0.08296871185302734,0.47802734375,0.34375,0.3125,0.34375,0.3194444444444445
cleveland,FPGA,5,265,32,2,0.8362209796905518,0.08432340621948242,0.56884765625,0.40625,0.453886217948718,0.40625,0.4243910782703887
cleveland,FPGA,5,265,32,3,0.8472800254821777,0.0836336612701416,0.5277506510416667,0.375,0.3732638888888889,0.375,0.3692307692307692
cleveland,FPGA,5,266,31,4,0.8333282470703125,0.08362221717834473,0.5626680107526882,0.3870967741935484,0.43904052936311,0.3870967741935484,0.4071594701183133
cleveland,FPGA,5,267,30,5,0.8366549015045166,0.08392333984375,0.5313541666666667,0.4,0.38333333333333336,0.4,0.3888888888888889
cleveland,FPGA,5,269,28,6,0.8485894203186035,0.08424234390258789,0.5808035714285715,0.5,0.5285714285714286,0.5,0.5138248847926268
cleveland,FPGA,5,269,28,7,0.8432486057281494,0.08402371406555176,0.5683221726190477,0.35714285714285715,0.4072039072039072,0.35714285714285715,0.37649542575650946
cleveland,FPGA,5,269,28,8,0.8395130634307861,0.08397459983825684,0.6800316220238095,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5298185941043083
cleveland,FPGA,5,269,28,9,0.8412978649139404,0.08381867408752441,0.6281529017857143,0.42857142857142855,0.4477040816326531,0.42857142857142855,0.4329931972789116
cleveland,FPGA,5,269,28,10,0.8464033603668213,0.08394837379455566,0.6703962053571428,0.5714285714285714,0.5376984126984127,0.5714285714285714,0.5423319327731092
