Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
contraceptive,FPGA,3,1324,149,1,2.3299922943115234,0.08310532569885254,0.6151869498444705,0.4899328859060403,0.4979641309959372,0.4899328859060403,0.487872856077554
contraceptive,FPGA,3,1325,148,2,2.2955493927001953,0.08362746238708496,0.5379282906856436,0.40540540540540543,0.41110457529949057,0.40540540540540543,0.40673281230787817
contraceptive,FPGA,3,1325,148,3,2.3442132472991943,0.08321738243103027,0.5831148901001841,0.4527027027027027,0.46043802423112773,0.4527027027027027,0.4555846015573069
contraceptive,FPGA,3,1326,147,4,2.429896354675293,0.08502030372619629,0.6276432650982472,0.5102040816326531,0.5213232971629066,0.5102040816326531,0.5136557196668513
contraceptive,FPGA,3,1326,147,5,2.3076815605163574,0.0838773250579834,0.5528795933958,0.41496598639455784,0.41551403362763545,0.41496598639455784,0.41484317249036984
contraceptive,FPGA,3,1326,147,6,2.4557721614837646,0.08307862281799316,0.6287320122854337,0.5170068027210885,0.520239133142359,0.5170068027210885,0.51813693789204
contraceptive,FPGA,3,1326,147,7,2.4175171852111816,0.08371472358703613,0.5706308497424945,0.43537414965986393,0.4386626186457397,0.43537414965986393,0.43639579638107395
contraceptive,FPGA,3,1326,147,8,2.405954599380493,0.0832817554473877,0.5773244362680137,0.4489795918367347,0.4620158887785501,0.4489795918367347,0.4542198244411524
contraceptive,FPGA,3,1326,147,9,2.3538131713867188,0.08296632766723633,0.5820367107882114,0.46258503401360546,0.4698065075086638,0.46258503401360546,0.46214808047871114
contraceptive,FPGA,3,1327,146,10,2.3332431316375732,0.08395051956176758,0.5552476855844977,0.4315068493150685,0.42662693942807306,0.4315068493150685,0.42865288217609293
