Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
dermatology,FPGA,6,320,38,1,0.8423867225646973,0.08305525779724121,0.9385307017543857,0.8947368421052632,0.91203007518797,0.8947368421052632,0.8993481728035504
dermatology,FPGA,6,322,36,2,0.8487856388092041,0.08383750915527344,0.9255555555555554,0.8888888888888888,0.9333333333333333,0.8888888888888888,0.8833774250440918
dermatology,FPGA,6,322,36,3,0.8393533229827881,0.08367323875427246,0.8889772727272724,0.8055555555555556,0.8353174603174602,0.8055555555555556,0.8165695415695415
dermatology,FPGA,6,322,36,4,0.8353722095489502,0.08372187614440918,0.9299074074074071,0.8888888888888888,0.898148148148148,0.8888888888888888,0.8911335578002245
dermatology,FPGA,6,322,36,5,0.839257001876831,0.08527302742004395,1.0,1.0,1.0,1.0,1.0
dermatology,FPGA,6,322,36,6,0.8380825519561768,0.08386778831481934,0.8830176767676765,0.8055555555555556,0.8291666666666667,0.8055555555555556,0.8099770599770599
dermatology,FPGA,6,322,36,7,0.8370711803436279,0.08327531814575195,0.9067682780182779,0.8333333333333334,0.8680555555555557,0.8333333333333334,0.840009065009065
dermatology,FPGA,6,322,36,8,0.8365027904510498,0.08386898040771484,0.9527062289562286,0.9166666666666666,0.9246031746031745,0.9166666666666666,0.9192104192104193
dermatology,FPGA,6,324,34,9,0.8448879718780518,0.08361935615539551,0.9612745098039215,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
dermatology,FPGA,6,324,34,10,0.856738805770874,0.08405828475952148,0.880392156862745,0.8529411764705882,0.8823529411764707,0.8529411764705882,0.8543417366946777
