Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
ecoli,FPGA,8,298,38,1,0.8365435600280762,0.08306312561035156,0.7704417293233086,0.7105263157894737,0.6760765550239234,0.7105263157894737,0.6886174767061194
ecoli,FPGA,8,298,38,2,0.8445320129394531,0.08367085456848145,0.805513784461153,0.7631578947368421,0.7462406015037594,0.7631578947368421,0.7491228070175439
ecoli,FPGA,8,301,35,3,0.8395528793334961,0.08503532409667969,0.657797619047619,0.5428571428571428,0.5938775510204082,0.5428571428571428,0.5670935960591134
ecoli,FPGA,8,302,34,4,0.8429427146911621,0.08968138694763184,0.6623161764705882,0.5588235294117647,0.5283613445378151,0.5588235294117647,0.5411764705882353
ecoli,FPGA,8,302,34,5,0.838841438293457,0.08413910865783691,0.6768382352941175,0.6176470588235294,0.5661764705882353,0.6176470588235294,0.587168396770473
ecoli,FPGA,8,304,32,6,0.8410272598266602,0.08462309837341309,0.6265345982142857,0.46875,0.5446428571428571,0.46875,0.5038461538461538
ecoli,FPGA,8,304,32,7,0.839195966720581,0.08431792259216309,0.676185825892857,0.5625,0.6136675824175825,0.5625,0.5868055555555556
ecoli,FPGA,8,305,31,8,0.8475391864776611,0.08397626876831055,0.6665706605222734,0.5483870967741935,0.5698924731182795,0.5483870967741935,0.5583126550868486
ecoli,FPGA,8,305,31,9,0.8429129123687744,0.08445477485656738,0.6615015360983104,0.5483870967741935,0.5645161290322581,0.5483870967741935,0.5497007736096919
ecoli,FPGA,8,305,31,10,0.8425004482269287,0.08457112312316895,0.6244527649769587,0.5483870967741935,0.5206093189964158,0.5483870967741935,0.5183284457478007
