Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
flare,FPGA,6,892,174,1,2.3045578002929688,0.0829777717590332,0.8290086206896555,0.8103448275862069,0.8084024532300392,0.8103448275862069,0.8084483212938984
flare,FPGA,6,964,102,2,2.1574177742004395,0.08420538902282715,0.728782971521942,0.5980392156862745,0.632724593105216,0.5980392156862745,0.6123581809119182
flare,FPGA,6,965,101,3,2.2416441440582275,0.08432269096374512,0.7389779290429043,0.6138613861386139,0.6346404377279833,0.6138613861386139,0.6234232445800971
flare,FPGA,6,966,100,4,2.3797624111175537,0.08436298370361328,0.7247833333333334,0.62,0.6310344827586206,0.62,0.623248372503586
flare,FPGA,6,966,100,5,2.4342920780181885,0.08340668678283691,0.7337416666666667,0.62,0.6289915966386554,0.62,0.6181648339916729
flare,FPGA,6,968,98,6,2.358198404312134,0.09088659286499023,0.689889455782313,0.5612244897959183,0.5929594781635599,0.5612244897959183,0.5419274203187768
flare,FPGA,6,968,98,7,2.386134624481201,0.08341836929321289,0.7827062074829932,0.6938775510204082,0.6883207495452393,0.6938775510204082,0.6871415590615375
flare,FPGA,6,968,98,8,2.372807502746582,0.08432698249816895,0.7709027777777777,0.673469387755102,0.6626766091051806,0.673469387755102,0.6625796563684763
flare,FPGA,6,968,98,9,2.340362310409546,0.08409500122070312,0.7262900368480726,0.6122448979591837,0.6391969831410825,0.6122448979591837,0.6244821823572921
flare,FPGA,6,969,97,10,2.33042311668396,0.08360457420349121,0.7441554920563774,0.6391752577319587,0.657486499754541,0.6391752577319587,0.6417441118146645
