Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
german,FPGA,2,900,100,1,1.6632804870605469,0.08330225944519043,0.5357142857142857,0.59,0.6090109890109889,0.59,0.5981766381766381
german,FPGA,2,900,100,2,1.6865358352661133,0.08372831344604492,0.5238095238095237,0.6,0.6,0.6,0.6
german,FPGA,2,900,100,3,1.6757478713989258,0.08292889595031738,0.5571428571428572,0.62,0.6272058823529413,0.62,0.6233754090696587
german,FPGA,2,900,100,4,1.684157133102417,0.08323144912719727,0.4166666666666667,0.49,0.5123076923076924,0.49,0.5001709401709402
german,FPGA,2,900,100,5,1.6837189197540283,0.0835103988647461,0.6023809523809525,0.67,0.6668771248178728,0.67,0.6683736025964658
german,FPGA,2,900,100,6,1.6793632507324219,0.08359646797180176,0.5666666666666667,0.62,0.6344028520499109,0.62,0.6262867647058823
german,FPGA,2,900,100,7,1.683304786682129,0.08384442329406738,0.5023809523809524,0.57,0.5819538670284939,0.57,0.575530066041015
german,FPGA,2,900,100,8,1.6816987991333008,0.08412885665893555,0.5166666666666666,0.59,0.5938756428237495,0.59,0.5918858355938199
german,FPGA,2,900,100,9,1.6941637992858887,0.08373498916625977,0.5523809523809524,0.6,0.6223958333333334,0.6,0.6092265943012211
german,FPGA,2,900,100,10,1.6831576824188232,0.08404111862182617,0.5166666666666666,0.59,0.5938756428237495,0.59,0.5918858355938199
