Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
glass,FPGA,6,191,23,1,0.8490371704101562,0.09162020683288574,0.8697204968944101,0.782608695652174,0.8271221532091096,0.782608695652174,0.7847826086956521
glass,FPGA,6,191,23,2,0.847264289855957,0.08397603034973145,0.8671195652173915,0.782608695652174,0.8115942028985507,0.782608695652174,0.791304347826087
glass,FPGA,6,191,23,3,0.8450489044189453,0.08477926254272461,0.8378881987577641,0.782608695652174,0.782608695652174,0.782608695652174,0.7668737060041408
glass,FPGA,6,192,22,4,0.852545976638794,0.08437156677246094,0.9402597402597402,0.8636363636363636,0.8952020202020201,0.8636363636363636,0.8541704285019791
glass,FPGA,6,192,22,5,0.8566555976867676,0.0858149528503418,0.7814123376623374,0.6363636363636364,0.6690082644628099,0.6363636363636364,0.6207459207459207
glass,FPGA,6,192,22,6,0.847907543182373,0.08474969863891602,0.8286120129870131,0.7727272727272727,0.7435064935064936,0.7727272727272727,0.7532467532467532
glass,FPGA,6,193,21,7,0.8489818572998047,0.08438324928283691,0.6897959183673469,0.5238095238095238,0.5555555555555556,0.5238095238095238,0.5335775335775336
glass,FPGA,6,194,20,8,0.8522109985351562,0.08456110954284668,0.6607142857142858,0.5,0.585,0.5,0.5283333333333333
glass,FPGA,6,194,20,9,0.8460860252380371,0.0852663516998291,0.7514285714285714,0.7,0.6433333333333333,0.7,0.6624434389140271
glass,FPGA,6,196,18,10,0.8492755889892578,0.08437228202819824,0.6964285714285715,0.5555555555555556,0.6944444444444444,0.5555555555555556,0.5976430976430975
