Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
hayes-roth,FPGA,3,142,18,1,0.8415982723236084,0.08457040786743164,0.7105654761904762,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.62010582010582
hayes-roth,FPGA,3,143,17,2,0.8412644863128662,0.08400082588195801,0.8802521008403362,0.8235294117647058,0.8284313725490197,0.8235294117647058,0.8226244343891402
hayes-roth,FPGA,3,143,17,3,0.8362081050872803,0.0837852954864502,0.8865546218487395,0.8823529411764706,0.9084967320261438,0.8823529411764706,0.8815610859728507
hayes-roth,FPGA,3,143,17,4,0.8378093242645264,0.08411979675292969,0.8529411764705883,0.8823529411764706,0.9084967320261438,0.8823529411764706,0.8602941176470589
hayes-roth,FPGA,3,144,16,5,0.8444583415985107,0.08368325233459473,0.8045014880952381,0.75,0.7574404761904763,0.75,0.75
hayes-roth,FPGA,3,145,15,6,0.8452322483062744,0.08415603637695312,0.7125,0.6666666666666666,0.7142857142857142,0.6666666666666666,0.6538461538461537
hayes-roth,FPGA,3,145,15,7,0.8398780822753906,0.08416104316711426,0.8625,0.8,0.8057142857142857,0.8,0.7986013986013986
hayes-roth,FPGA,3,145,15,8,0.840059757232666,0.08416986465454102,0.7875000000000001,0.7333333333333333,0.7523809523809523,0.7333333333333333,0.7343589743589743
hayes-roth,FPGA,3,145,15,9,0.8646819591522217,0.09746074676513672,0.7875000000000001,0.7333333333333333,0.77,0.7333333333333333,0.7366233766233765
hayes-roth,FPGA,3,145,15,10,0.8463544845581055,0.08425354957580566,0.6958333333333333,0.6,0.64,0.6,0.6067532467532468
