Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
heart,FPGA,2,243,27,1,0.8346645832061768,0.0825357437133789,0.6250000000000001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
heart,FPGA,2,243,27,2,0.8394136428833008,0.08276915550231934,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,FPGA,2,243,27,3,0.8322269916534424,0.08284997940063477,0.6916666666666668,0.7037037037037037,0.7032679738562092,0.7037037037037037,0.6994949494949496
heart,FPGA,2,243,27,4,0.8380734920501709,0.08315157890319824,0.6333333333333333,0.6296296296296297,0.6385836385836385,0.6296296296296297,0.6306471306471306
heart,FPGA,2,243,27,5,0.8419232368469238,0.08288192749023438,0.5666666666666667,0.5555555555555556,0.5757575757575757,0.5555555555555556,0.5531135531135531
heart,FPGA,2,243,27,6,0.8357329368591309,0.08351731300354004,0.7166666666666668,0.7037037037037037,0.7323232323232324,0.7037037037037037,0.7020757020757021
heart,FPGA,2,243,27,7,0.8332486152648926,0.08330488204956055,0.7000000000000001,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
heart,FPGA,2,243,27,8,0.8398983478546143,0.08389759063720703,0.5,0.5185185185185185,0.5061728395061729,0.5185185185185185,0.506012506012506
heart,FPGA,2,243,27,9,0.83854079246521,0.08309149742126465,0.7333333333333333,0.7407407407407407,0.7398989898989898,0.7407407407407407,0.7392862708430732
heart,FPGA,2,243,27,10,0.8379414081573486,0.08329892158508301,0.4833333333333333,0.48148148148148145,0.4896214896214896,0.48148148148148145,0.4829059829059829
