Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
hepatitis,FPGA,2,71,9,1,0.8343214988708496,0.08332300186157227,0.8571428571428572,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7962962962962963
hepatitis,FPGA,2,71,9,2,0.8436448574066162,0.09009456634521484,0.75,0.8888888888888888,0.9027777777777778,0.8888888888888888,0.874074074074074
hepatitis,FPGA,2,71,9,3,0.8406944274902344,0.08353042602539062,0.75,0.8888888888888888,0.9027777777777778,0.8888888888888888,0.874074074074074
hepatitis,FPGA,2,72,8,4,0.8345513343811035,0.08374929428100586,0.8571428571428572,0.75,0.9166666666666666,0.75,0.7916666666666666
hepatitis,FPGA,2,72,8,5,0.8418548107147217,0.08400511741638184,1.0,1.0,1.0,1.0,1.0
hepatitis,FPGA,2,72,8,6,0.8449497222900391,0.0837850570678711,0.42857142857142855,0.75,0.75,0.75,0.75
hepatitis,FPGA,2,72,8,7,0.8484025001525879,0.08358478546142578,1.0,1.0,1.0,1.0,1.0
hepatitis,FPGA,2,73,7,8,0.837061882019043,0.0835866928100586,1.0,1.0,1.0,1.0,1.0
hepatitis,FPGA,2,73,7,9,0.8408334255218506,0.08386588096618652,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
hepatitis,FPGA,2,73,7,10,0.8472168445587158,0.08722233772277832,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
