Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
housevotes,FPGA,2,208,24,1,0.8424205780029297,0.08401727676391602,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,FPGA,2,208,24,2,0.8593077659606934,0.08401083946228027,0.8706293706293707,0.875,0.8767857142857144,0.875,0.8743386243386245
housevotes,FPGA,2,208,24,3,0.8466470241546631,0.08406782150268555,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,FPGA,2,208,24,4,0.8547763824462891,0.08439064025878906,0.9230769230769231,0.9166666666666666,0.9294871794871794,0.9166666666666666,0.9166666666666666
housevotes,FPGA,2,209,23,5,0.8430032730102539,0.08447837829589844,0.9545454545454546,0.9565217391304348,0.959866220735786,0.9565217391304348,0.9563561076604555
housevotes,FPGA,2,209,23,6,0.8499994277954102,0.08437991142272949,0.8674242424242424,0.8695652173913043,0.87190635451505,0.8695652173913043,0.8690683229813664
housevotes,FPGA,2,209,23,7,0.8452737331390381,0.08494448661804199,0.8712121212121213,0.8695652173913043,0.8728590250329382,0.8695652173913043,0.8695652173913043
housevotes,FPGA,2,209,23,8,0.8536205291748047,0.08426308631896973,0.8712121212121213,0.8695652173913043,0.8728590250329382,0.8695652173913043,0.8695652173913043
housevotes,FPGA,2,210,22,9,0.8419206142425537,0.08159041404724121,0.9583333333333333,0.9545454545454546,0.9586776859504131,0.9545454545454546,0.9546395633352156
housevotes,FPGA,2,210,22,10,0.8506424427032471,0.08492851257324219,0.95,0.9545454545454546,0.958041958041958,0.9545454545454546,0.9542583732057417
