Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
ionosphere,FPGA,2,315,36,1,0.8338789939880371,0.08339118957519531,0.9230769230769231,0.9444444444444444,0.9488888888888888,0.9444444444444444,0.9432870370370371
ionosphere,FPGA,2,315,36,2,0.8432087898254395,0.08364391326904297,0.9230769230769231,0.9444444444444444,0.9488888888888888,0.9444444444444444,0.9432870370370371
ionosphere,FPGA,2,315,36,3,0.8437485694885254,0.08511137962341309,0.9013377926421404,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.915886524822695
ionosphere,FPGA,2,315,36,4,0.8400037288665771,0.08423972129821777,0.8076923076923077,0.8611111111111112,0.8859126984126984,0.8611111111111112,0.851384998443822
ionosphere,FPGA,2,315,36,5,0.851743221282959,0.08481955528259277,0.8846153846153846,0.9166666666666666,0.9262820512820513,0.9166666666666666,0.9137829044661342
ionosphere,FPGA,2,316,35,6,0.8421807289123535,0.09064221382141113,0.8234265734265734,0.8571428571428571,0.8622857142857143,0.8571428571428571,0.8523853574732391
ionosphere,FPGA,2,317,34,7,0.8415069580078125,0.08408498764038086,0.787878787878788,0.8235294117647058,0.8215686274509805,0.8235294117647058,0.8193443385259241
ionosphere,FPGA,2,317,34,8,0.8408360481262207,0.08419156074523926,0.9166666666666667,0.9411764705882353,0.946078431372549,0.9411764705882353,0.9397814461753081
ionosphere,FPGA,2,317,34,9,0.8475885391235352,0.08415436744689941,0.875,0.9117647058823529,0.9223529411764706,0.9117647058823529,0.9082782048989808
ionosphere,FPGA,2,317,34,10,0.8602144718170166,0.08414912223815918,0.8522727272727273,0.8823529411764706,0.8838235294117647,0.8823529411764706,0.879562892350616
