Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
iris,FPGA,3,135,15,1,0.8370077610015869,0.08309578895568848,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,FPGA,3,135,15,2,0.8338873386383057,0.08302927017211914,1.0,1.0,1.0,1.0,1.0
iris,FPGA,3,135,15,3,0.8312788009643555,0.08310127258300781,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,FPGA,3,135,15,4,0.8386049270629883,0.08861589431762695,1.0,1.0,1.0,1.0,1.0
iris,FPGA,3,135,15,5,0.8326981067657471,0.08328866958618164,1.0,1.0,1.0,1.0,1.0
iris,FPGA,3,135,15,6,0.8340969085693359,0.08331179618835449,0.8999999999999999,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
iris,FPGA,3,135,15,7,0.8428373336791992,0.08307170867919922,1.0,1.0,1.0,1.0,1.0
iris,FPGA,3,135,15,8,0.8374595642089844,0.0835416316986084,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,FPGA,3,135,15,9,0.8391251564025879,0.08388090133666992,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,FPGA,3,135,15,10,0.8486196994781494,0.08377957344055176,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
