Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
mammographic,FPGA,2,745,85,1,0.8327188491821289,0.08305215835571289,0.7295127353266888,0.7294117647058823,0.7296137059474952,0.7294117647058823,0.7294117647058824
mammographic,FPGA,2,746,84,2,0.8294939994812012,0.08550024032592773,0.7634713556437889,0.7619047619047619,0.7681480872970236,0.7619047619047619,0.7610930735930735
mammographic,FPGA,2,747,83,3,0.83247971534729,0.0835258960723877,0.7212209302325582,0.7228915662650602,0.7233375334475387,0.7228915662650602,0.7221637168841718
mammographic,FPGA,2,747,83,4,0.8335585594177246,0.08308219909667969,0.7953488372093023,0.7951807228915663,0.7955305542728405,0.7951807228915663,0.7952402201398185
mammographic,FPGA,2,747,83,5,0.8423304557800293,0.08329939842224121,0.7729651162790697,0.7710843373493976,0.7760515747199324,0.7710843373493976,0.7707518527268112
mammographic,FPGA,2,747,83,6,0.8361778259277344,0.08394026756286621,0.7819767441860466,0.7831325301204819,0.7834143591911505,0.7831325301204819,0.7828165810093521
mammographic,FPGA,2,747,83,7,0.8426680564880371,0.08392930030822754,0.6729651162790697,0.6746987951807228,0.6747625047782198,0.6746987951807228,0.6738443632988104
mammographic,FPGA,2,748,82,8,0.8354358673095703,0.08352422714233398,0.7678571428571428,0.7682926829268293,0.7683144988873861,0.7682926829268293,0.7681891651381145
mammographic,FPGA,2,748,82,9,0.8333315849304199,0.08350086212158203,0.719047619047619,0.7195121951219512,0.71947583518769,0.7195121951219512,0.7193868841145599
mammographic,FPGA,2,748,82,10,0.8526549339294434,0.0834953784942627,0.6434523809523809,0.6463414634146342,0.6518257971953533,0.6463414634146342,0.6410389955785064
