Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
monk-2,FPGA,2,388,44,1,0.8300154209136963,0.08439040184020996,0.9089026915113871,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
monk-2,FPGA,2,388,44,2,0.8389678001403809,0.08414936065673828,0.9089026915113871,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
monk-2,FPGA,2,388,44,3,0.8336238861083984,0.08370804786682129,0.9761904761904762,0.9772727272727273,0.9782196969696971,0.9772727272727273,0.9772373449072983
monk-2,FPGA,2,388,44,4,0.8415842056274414,0.08412551879882812,0.9089026915113871,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
monk-2,FPGA,2,389,43,5,0.8359644412994385,0.08398652076721191,0.8847826086956521,0.8837209302325582,0.8849290244639082,0.8837209302325582,0.8838469780046637
monk-2,FPGA,2,389,43,6,0.8435220718383789,0.08338141441345215,0.975,0.9767441860465116,0.9777131782945737,0.9767441860465116,0.9766934368616703
monk-2,FPGA,2,389,43,7,0.8385035991668701,0.0839700698852539,0.9282608695652175,0.9302325581395349,0.9309465524275804,0.9302325581395349,0.9300803105850112
monk-2,FPGA,2,389,43,8,0.8369200229644775,0.08394718170166016,0.9282608695652175,0.9302325581395349,0.9309465524275804,0.9302325581395349,0.9300803105850112
monk-2,FPGA,2,390,42,9,0.8507862091064453,0.08405375480651855,0.9295454545454546,0.9285714285714286,0.9297052154195012,0.9285714285714286,0.9286119439267483
monk-2,FPGA,2,390,42,10,0.839057445526123,0.0834197998046875,0.9249999999999999,0.9285714285714286,0.9371428571428572,0.9285714285714286,0.9279553109340343
