Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
mushroom,FPGA,2,5079,565,1,5.974628448486328,0.08550262451171875,0.998567335243553,0.9982300884955753,0.9982382447697892,0.9982300884955753,0.998230862609374
mushroom,FPGA,2,5079,565,2,6.024189233779907,0.08559656143188477,0.997134670487106,0.9964601769911504,0.9964926524315986,0.9964601769911504,0.9964632473127656
mushroom,FPGA,2,5079,565,3,5.995373010635376,0.08533191680908203,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5079,565,4,6.015915632247925,0.0862116813659668,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5079,565,5,6.044835805892944,0.09397768974304199,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5079,565,6,5.991659641265869,0.08532857894897461,0.9976851851851851,0.9982300884955753,0.9982351453855879,0.9982300884955753,0.9982293012650881
mushroom,FPGA,2,5080,564,7,5.969679832458496,0.08484053611755371,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5080,564,8,5.955009937286377,0.08460569381713867,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5081,563,9,5.955395698547363,0.08460259437561035,1.0,1.0,1.0,1.0,1.0
mushroom,FPGA,2,5081,563,10,5.977146625518799,0.08481144905090332,0.9953488372093023,0.9964476021314387,0.9964679015478306,0.9964476021314387,0.9964443915316461
