Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
newthyroid,FPGA,3,193,22,1,0.8396410942077637,0.08378100395202637,0.8977272727272727,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
newthyroid,FPGA,3,193,22,2,0.841604471206665,0.08423233032226562,0.9360795454545455,0.9545454545454546,0.9573863636363636,0.9545454545454546,0.9520318391286132
newthyroid,FPGA,3,193,22,3,0.8423643112182617,0.08220839500427246,1.0,1.0,1.0,1.0,1.0
newthyroid,FPGA,3,193,22,4,0.8507695198059082,0.08388257026672363,0.918560606060606,0.9545454545454546,0.9573863636363636,0.9545454545454546,0.950733137829912
newthyroid,FPGA,3,193,22,5,0.8519854545593262,0.08421945571899414,0.9583333333333334,0.9090909090909091,0.9454545454545454,0.9090909090909091,0.9172077922077922
newthyroid,FPGA,3,194,21,6,0.8514618873596191,0.08460831642150879,1.0,1.0,1.0,1.0,1.0
newthyroid,FPGA,3,194,21,7,0.8517839908599854,0.08467507362365723,0.8952380952380952,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
newthyroid,FPGA,3,194,21,8,0.8588943481445312,0.08475565910339355,1.0,1.0,1.0,1.0,1.0
newthyroid,FPGA,3,194,21,9,0.8509597778320312,0.08475589752197266,0.9166666666666665,0.9523809523809523,0.9553571428571429,0.9523809523809523,0.9483870967741934
newthyroid,FPGA,3,194,21,10,0.8469452857971191,0.08469533920288086,1.0,1.0,1.0,1.0,1.0
