Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
phoneme,FPGA,2,4863,541,1,6.904308795928955,0.08320903778076172,0.8331110672066909,0.8706099815157117,0.8685422994929601,0.8706099815157117,0.8690733606169949
phoneme,FPGA,2,4863,541,2,7.0388829708099365,0.08527278900146484,0.8711021107049952,0.8983364140480592,0.8973245424382105,0.8983364140480592,0.8976537979384315
phoneme,FPGA,2,4863,541,3,7.064188003540039,0.08543062210083008,0.8792271724455859,0.9020332717190388,0.9015478975737755,0.9020332717190388,0.9017583542224038
phoneme,FPGA,2,4863,541,4,6.918093681335449,0.08359646797180176,0.8842075800981264,0.9038817005545287,0.9038817005545287,0.9038817005545287,0.9038817005545287
phoneme,FPGA,2,4863,541,5,6.858531475067139,0.0862431526184082,0.888134281668807,0.9094269870609981,0.908983899649334,0.9094269870609981,0.9091728180546753
phoneme,FPGA,2,4863,541,6,6.953465700149536,0.08465313911437988,0.872155816786855,0.8946395563770795,0.8944519460735533,0.8946395563770795,0.8945422357471068
phoneme,FPGA,2,4864,540,7,6.952847480773926,0.08399391174316406,0.8580422824574194,0.8962962962962963,0.89485582010582,0.8962962962962963,0.8943578261314576
phoneme,FPGA,2,4864,540,8,6.924224853515625,0.0838174819946289,0.8855457618132415,0.9037037037037037,0.9040850389863547,0.9037037037037037,0.9038801491532636
phoneme,FPGA,2,4865,539,9,6.840046405792236,0.08324646949768066,0.8569719924249976,0.8868274582560297,0.885643314346413,0.8868274582560297,0.8860606582164381
phoneme,FPGA,2,4865,539,10,6.774404048919678,0.08292746543884277,0.8653858932190437,0.8961038961038961,0.8947865226637605,0.8961038961038961,0.8950791495747302
