Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
pima,FPGA,2,691,77,1,0.8560600280761719,0.09309172630310059,0.6407407407407407,0.6883116883116883,0.6791935922370705,0.6883116883116883,0.6818381618381618
pima,FPGA,2,691,77,2,0.8599653244018555,0.08697009086608887,0.6962962962962963,0.7272727272727273,0.7250788427259015,0.7272727272727273,0.7260499634869146
pima,FPGA,2,691,77,3,0.8603084087371826,0.08626604080200195,0.5951851851851852,0.6623376623376623,0.6435760247012515,0.6623376623376623,0.6454817324382541
pima,FPGA,2,691,77,4,0.8617048263549805,0.08695197105407715,0.5807407407407407,0.6103896103896104,0.6171443499029707,0.6103896103896104,0.613371322554996
pima,FPGA,2,691,77,5,0.8863637447357178,0.08737301826477051,0.6862962962962964,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
pima,FPGA,2,691,77,6,0.8623385429382324,0.08711385726928711,0.6662962962962963,0.6883116883116883,0.6940028362442155,0.6883116883116883,0.6906970580439968
pima,FPGA,2,691,77,7,0.8604087829589844,0.08898496627807617,0.6392592592592593,0.6753246753246753,0.6726410844057903,0.6753246753246753,0.6738690041510889
pima,FPGA,2,691,77,8,0.864598274230957,0.0864865779876709,0.6477777777777778,0.6753246753246753,0.6781738669493772,0.6753246753246753,0.6766364948183129
pima,FPGA,2,692,76,9,0.8637218475341797,0.08761882781982422,0.6300000000000001,0.6710526315789473,0.6680908152734779,0.6710526315789473,0.669456109697657
pima,FPGA,2,692,76,10,0.8624815940856934,0.08581113815307617,0.5884615384615385,0.5921052631578947,0.62800293416468,0.5921052631578947,0.6020252396438764
