Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
post-operative,FPGA,2,76,11,1,0.8605008125305176,0.08638763427734375,0.6428571428571429,0.5454545454545454,0.428030303030303,0.5454545454545454,0.46969696969696967
post-operative,FPGA,3,77,10,2,0.8900976181030273,0.08617115020751953,0.44047619047619047,0.3,0.42000000000000004,0.3,0.35
post-operative,FPGA,3,78,9,3,0.8644225597381592,0.08556723594665527,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
post-operative,FPGA,3,78,9,4,0.8538601398468018,0.08566427230834961,0.5833333333333334,0.4444444444444444,0.5333333333333334,0.4444444444444444,0.4848484848484848
post-operative,FPGA,3,79,8,5,0.8699901103973389,0.08531069755554199,0.5833333333333333,0.25,0.75,0.25,0.375
post-operative,FPGA,3,79,8,6,0.8635258674621582,0.08565807342529297,0.2916666666666667,0.125,0.25,0.125,0.16666666666666666
post-operative,FPGA,3,79,8,7,0.8590927124023438,0.08562850952148438,0.5,0.375,0.5625,0.375,0.44999999999999996
post-operative,FPGA,3,79,8,8,0.8589746952056885,0.08537459373474121,0.375,0.0,0.0,0.0,0.0
post-operative,FPGA,3,79,8,9,0.8692266941070557,0.08603715896606445,0.41666666666666663,0.5,0.5,0.5,0.5
post-operative,FPGA,3,79,8,10,0.8687179088592529,0.08582592010498047,0.5416666666666666,0.5,0.6000000000000001,0.5,0.5454545454545454
