Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
saheart,FPGA,2,415,47,1,0.8520865440368652,0.08405041694641113,0.5745967741935484,0.6382978723404256,0.6227014537402523,0.6382978723404256,0.6279361137761724
saheart,FPGA,2,415,47,2,0.858212947845459,0.08475494384765625,0.6209677419354838,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6595744680851063
saheart,FPGA,2,416,46,3,0.85837721824646,0.08492088317871094,0.5395833333333333,0.6086956521739131,0.5861040068201194,0.6086956521739131,0.5929736024844721
saheart,FPGA,2,416,46,4,0.8545269966125488,0.09060430526733398,0.4708333333333333,0.5,0.5204678362573099,0.5,0.5082706766917294
saheart,FPGA,2,416,46,5,0.8706531524658203,0.08426833152770996,0.4854166666666666,0.5,0.5333333333333333,0.5,0.511056511056511
saheart,FPGA,2,416,46,6,0.8519408702850342,0.08475351333618164,0.5187499999999999,0.5434782608695652,0.562929061784897,0.5434782608695652,0.5510297482837528
saheart,FPGA,2,416,46,7,0.8495924472808838,0.08407735824584961,0.58125,0.5869565217391305,0.6186335403726708,0.5869565217391305,0.5960901613075527
saheart,FPGA,2,416,46,8,0.8510751724243164,0.08466625213623047,0.5145833333333333,0.5,0.5599999999999999,0.5,0.5107604017216643
saheart,FPGA,2,416,46,9,0.8512237071990967,0.0844268798828125,0.4875,0.5217391304347826,0.5351966873706004,0.5217391304347826,0.5275597495369962
saheart,FPGA,2,416,46,10,0.8548345565795898,0.08468890190124512,0.5729166666666666,0.6521739130434783,0.6268115942028986,0.6521739130434783,0.6278504104591062
