Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
satimage,FPGA,6,5789,646,1,22.1356258392334,0.26424288749694824,0.9195889103972092,0.8792569659442725,0.8787331248183909,0.8792569659442725,0.8788658837723647
satimage,FPGA,6,5789,646,2,22.498454809188843,0.26822781562805176,0.9415239298696942,0.9071207430340558,0.9119544497763419,0.9071207430340558,0.9085192240524266
satimage,FPGA,6,5789,646,3,21.77576971054077,0.26000499725341797,0.9301953372785077,0.8931888544891641,0.8953915147960806,0.8931888544891641,0.8941619749912477
satimage,FPGA,6,5791,644,4,22.22704029083252,0.26425671577453613,0.9258811297167089,0.8850931677018633,0.8888700815652401,0.8850931677018633,0.8865742915783008
satimage,FPGA,6,5791,644,5,21.946173667907715,0.2600221633911133,0.9451247046010426,0.9114906832298136,0.9155689730148663,0.9114906832298136,0.9129346601994404
satimage,FPGA,6,5791,644,6,22.168935775756836,0.26354289054870605,0.9302389894021399,0.8928571428571429,0.8940794327467083,0.8928571428571429,0.893224193309311
satimage,FPGA,6,5792,643,7,22.530193567276,0.26708078384399414,0.9360725483620846,0.8989113530326595,0.9055948892475345,0.8989113530326595,0.9014395781204392
satimage,FPGA,6,5793,642,8,22.383277893066406,0.2649040222167969,0.9380601236417302,0.9018691588785047,0.9076837432333461,0.9018691588785047,0.9038092726453408
satimage,FPGA,6,5795,640,9,22.272783517837524,0.262509822845459,0.9410087906802506,0.90625,0.9121291239343667,0.90625,0.908505295172197
satimage,FPGA,6,5795,640,10,22.543309450149536,0.26595211029052734,0.942984311184151,0.9078125,0.915632876133192,0.9078125,0.9106456660440341
