Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
segment,FPGA,7,2077,233,1,2.5002334117889404,0.0828700065612793,0.9799425395076745,0.9656652360515021,0.9682804785569072,0.9656652360515021,0.9658219165822486
segment,FPGA,7,2079,231,2,2.5060367584228516,0.08284139633178711,0.9873737373737376,0.9783549783549783,0.9783470206264324,0.9783549783549783,0.9782873842575336
segment,FPGA,7,2079,231,3,2.508209466934204,0.08254885673522949,0.9873737373737376,0.9783549783549783,0.9793517406962785,0.9783549783549783,0.9783973290808862
segment,FPGA,7,2079,231,4,2.4987900257110596,0.08318448066711426,0.9772727272727275,0.961038961038961,0.9612554112554113,0.961038961038961,0.9605997866867433
segment,FPGA,7,2079,231,5,2.5209836959838867,0.08287835121154785,0.9924242424242425,0.987012987012987,0.9873724489795918,0.987012987012987,0.9870071105365222
segment,FPGA,7,2079,231,6,2.508955955505371,0.08323001861572266,0.9797979797979801,0.9653679653679653,0.9667658730158731,0.9653679653679653,0.9656583452779105
segment,FPGA,7,2079,231,7,2.524346113204956,0.0830845832824707,0.9848484848484849,0.974025974025974,0.9744079449961803,0.974025974025974,0.9740199166505137
segment,FPGA,7,2079,231,8,2.53222393989563,0.09823155403137207,0.9696969696969697,0.948051948051948,0.9507308472825714,0.948051948051948,0.9484509346260498
segment,FPGA,7,2079,231,9,2.4997520446777344,0.08295369148254395,0.974747474747475,0.9567099567099567,0.956423478482302,0.9567099567099567,0.956441568381867
segment,FPGA,7,2081,229,10,2.5128564834594727,0.0829765796661377,0.9720097743262318,0.9519650655021834,0.9562412886173739,0.9519650655021834,0.9525596908608601
