Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
tae,FPGA,3,133,18,1,0.8261771202087402,0.08286523818969727,0.6924603174603174,0.6111111111111112,0.6944444444444444,0.6111111111111112,0.5666666666666668
tae,FPGA,3,136,15,2,0.8339159488677979,0.08372926712036133,0.6000000000000001,0.4666666666666667,0.49999999999999994,0.4666666666666667,0.46969696969696967
tae,FPGA,3,136,15,3,0.8286125659942627,0.08321237564086914,0.8500000000000001,0.8,0.8055555555555555,0.8,0.7979797979797979
tae,FPGA,3,136,15,4,0.8345210552215576,0.08312368392944336,0.6,0.4666666666666667,0.4539682539682539,0.4666666666666667,0.45
tae,FPGA,3,136,15,5,0.836195707321167,0.083221435546875,0.65,0.5333333333333333,0.5015873015873016,0.5333333333333333,0.5055555555555555
tae,FPGA,3,136,15,6,0.8300609588623047,0.0831449031829834,0.75,0.6666666666666666,0.6349206349206349,0.6666666666666666,0.6204906204906204
tae,FPGA,3,136,15,7,0.837897777557373,0.08290576934814453,0.75,0.6666666666666666,0.6722222222222222,0.6666666666666666,0.6646464646464646
tae,FPGA,3,136,15,8,0.8313343524932861,0.08310937881469727,0.75,0.6666666666666666,0.7,0.6666666666666666,0.6781144781144781
tae,FPGA,3,136,15,9,0.8317077159881592,0.08319234848022461,0.5999999999999999,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
tae,FPGA,3,138,13,10,0.8445148468017578,0.08359575271606445,0.5413461538461539,0.38461538461538464,0.43589743589743585,0.38461538461538464,0.3923076923076923
