Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
texture,FPGA,11,4950,550,1,8.025984525680542,0.0962371826171875,0.9860000000000001,0.9745454545454545,0.9746078431372548,0.9745454545454545,0.9745241462921802
texture,FPGA,11,4950,550,2,8.395756959915161,0.1013484001159668,0.9920000000000003,0.9854545454545455,0.9857974888068436,0.9854545454545455,0.9855058868640615
texture,FPGA,11,4950,550,3,8.35814118385315,0.10064554214477539,0.9870000000000001,0.9763636363636363,0.9772904002315768,0.9763636363636363,0.9764210782976903
texture,FPGA,11,4950,550,4,8.159574031829834,0.09866547584533691,0.9870000000000001,0.9763636363636363,0.9766800356506238,0.9763636363636363,0.9764330755895627
texture,FPGA,11,4950,550,5,8.405356168746948,0.10278534889221191,0.9930000000000003,0.9872727272727273,0.9878470984353337,0.9872727272727273,0.9873188741987168
texture,FPGA,11,4950,550,6,8.468080759048462,0.10229659080505371,0.9910000000000002,0.9836363636363636,0.9842591888318859,0.9836363636363636,0.9837007717115878
texture,FPGA,11,4950,550,7,8.183357000350952,0.1002492904663086,0.9900000000000002,0.9818181818181818,0.9821661181955299,0.9818181818181818,0.9818499911761339
texture,FPGA,11,4950,550,8,7.848147630691528,0.09526443481445312,0.9880000000000001,0.9781818181818182,0.979408090072143,0.9781818181818182,0.9783972903436785
texture,FPGA,11,4950,550,9,7.982913255691528,0.09880256652832031,0.9840000000000002,0.9709090909090909,0.9719604050517693,0.9709090909090909,0.9710212611943831
texture,FPGA,11,4950,550,10,8.000468969345093,0.09769725799560547,0.9870000000000003,0.9763636363636363,0.9765376919998768,0.9763636363636363,0.9763803760055149
