Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
thyroid,FPGA,3,6479,721,1,22.269031047821045,0.2736623287200928,0.7461601265544526,0.9084604715672677,0.9146068233265875,0.9084604715672677,0.9113376858752015
thyroid,FPGA,3,6479,721,2,23.41318154335022,0.28917789459228516,0.7829675573318744,0.9389736477115118,0.9317024931231478,0.9389736477115118,0.9347781953612609
thyroid,FPGA,3,6479,721,3,22.57942795753479,0.2805356979370117,0.7557969233169611,0.9251040221914009,0.9265715201106381,0.9251040221914009,0.9254812733828641
thyroid,FPGA,3,6479,721,4,22.982284545898438,0.2835392951965332,0.7224289228346452,0.9223300970873787,0.9208956640908791,0.9223300970873787,0.9211521200853615
thyroid,FPGA,3,6479,721,5,22.89220666885376,0.2810366153717041,0.7505539091255371,0.9153952843273232,0.9219719441419425,0.9153952843273232,0.9184335953468484
thyroid,FPGA,3,6479,721,6,23.05612802505493,0.28524041175842285,0.7286943187105612,0.9070735090152566,0.9185195292149065,0.9070735090152566,0.9116662150625882
thyroid,FPGA,3,6481,719,7,22.747098684310913,0.27976322174072266,0.7222291071495697,0.9123783031988874,0.9189541709479149,0.9123783031988874,0.9149833765598633
thyroid,FPGA,3,6481,719,8,22.81347894668579,0.2801167964935303,0.7930161776867272,0.9179415855354659,0.9253756828176937,0.9179415855354659,0.9214314654313103
thyroid,FPGA,3,6482,718,9,22.67922353744507,0.27719545364379883,0.7409470098580474,0.9206128133704735,0.9184161587139325,0.9206128133704735,0.9194163999895155
thyroid,FPGA,3,6482,718,10,22.8550865650177,0.2801058292388916,0.7472567013392223,0.9192200557103064,0.9189430530105726,0.9192200557103064,0.9189999707667057
