Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
titanic,FPGA,2,1485,716,1,2.5249600410461426,0.13078784942626953,0.5030596048619523,0.7192737430167597,0.6314749078544755,0.7192737430167597,0.654534338491709
titanic,FPGA,2,2035,166,2,3.558669328689575,0.08328580856323242,0.5504716981132075,0.5783132530120482,0.584448086463501,0.5783132530120482,0.5810599718975157
titanic,FPGA,2,2035,166,3,3.561863899230957,0.08345866203308105,0.5421383647798742,0.572289156626506,0.5769374307214991,0.572289156626506,0.5744354474731694
titanic,FPGA,2,2036,165,4,3.5896546840667725,0.08476567268371582,0.41869203709625835,0.48484848484848486,0.4608100233100233,0.48484848484848486,0.471074264712419
titanic,FPGA,2,2036,165,5,3.590772867202759,0.08370304107666016,0.4234090182283339,0.4909090909090909,0.46478707012425,0.4909090909090909,0.47572898799313895
titanic,FPGA,2,2036,165,6,3.589704990386963,0.09338641166687012,0.4234090182283339,0.4909090909090909,0.46478707012425,0.4909090909090909,0.47572898799313895
titanic,FPGA,2,2036,165,7,3.591254949569702,0.0837855339050293,0.4234090182283339,0.4909090909090909,0.46478707012425,0.4909090909090909,0.47572898799313895
titanic,FPGA,2,2036,165,8,3.5885863304138184,0.08380627632141113,0.4234090182283339,0.4909090909090909,0.46478707012425,0.4909090909090909,0.47572898799313895
titanic,FPGA,2,2037,164,9,3.6074371337890625,0.08457112312316895,0.3657788539144471,0.3780487804878049,0.41607985691637367,0.3780487804878049,0.39052561346282155
titanic,FPGA,2,2037,164,10,3.6352789402008057,0.08378386497497559,0.3657788539144471,0.3780487804878049,0.41607985691637367,0.3780487804878049,0.39052561346282155
