Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
vehicle,FPGA,4,760,86,1,0.8329412937164307,0.08277726173400879,0.7618217054263566,0.6395348837209303,0.6156227864801587,0.6395348837209303,0.6253118861814514
vehicle,FPGA,4,760,86,2,0.828815221786499,0.08245658874511719,0.8069767441860466,0.7093023255813954,0.7197611649876031,0.7093023255813954,0.7110879529804781
vehicle,FPGA,4,761,85,3,0.8271160125732422,0.08283042907714844,0.7733986928104576,0.6588235294117647,0.6719887955182073,0.6588235294117647,0.6649119195006307
vehicle,FPGA,4,761,85,4,0.827559232711792,0.08280491828918457,0.756392708598591,0.6352941176470588,0.6354509803921569,0.6352941176470588,0.6333313579132867
vehicle,FPGA,4,761,85,5,0.8626244068145752,0.08305478096008301,0.8115616246498599,0.7176470588235294,0.7286797385620915,0.7176470588235294,0.7219862440373959
vehicle,FPGA,4,761,85,6,0.829456090927124,0.08290672302246094,0.8050511416687889,0.7058823529411765,0.7178161259927311,0.7058823529411765,0.7075838984777484
vehicle,FPGA,4,761,85,7,0.8298840522766113,0.08314347267150879,0.7886166284695696,0.6823529411764706,0.6758917754744919,0.6823529411764706,0.6786928104575163
vehicle,FPGA,4,762,84,8,0.8354384899139404,0.08310174942016602,0.762331005634577,0.6428571428571429,0.6406162464985995,0.6428571428571429,0.6397673757255601
vehicle,FPGA,4,763,83,9,0.8392212390899658,0.08281588554382324,0.7361637024287627,0.6024096385542169,0.6090811365763806,0.6024096385542169,0.603817210271873
vehicle,FPGA,4,764,82,10,0.8392047882080078,0.08285093307495117,0.7667033437251666,0.6463414634146342,0.6535205827171394,0.6463414634146342,0.6470269597389747
