Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
vowel,FPGA,11,891,99,1,1.6734764575958252,0.08396148681640625,0.9888888888888887,0.9797979797979798,0.9818181818181817,0.9797979797979798,0.979735434843794
vowel,FPGA,11,891,99,2,1.666651964187622,0.08302879333496094,1.0,1.0,1.0,1.0,1.0
vowel,FPGA,11,891,99,3,1.6660315990447998,0.08290362358093262,0.9888888888888887,0.9797979797979798,0.9818181818181818,0.9797979797979798,0.979735434843794
vowel,FPGA,11,891,99,4,1.6719825267791748,0.08362603187561035,1.0,1.0,1.0,1.0,1.0
vowel,FPGA,11,891,99,5,1.6900296211242676,0.08311986923217773,1.0,1.0,1.0,1.0,1.0
vowel,FPGA,11,891,99,6,1.6726627349853516,0.08338189125061035,0.9777777777777776,0.9595959595959596,0.9636363636363637,0.9595959595959596,0.9600337742752604
vowel,FPGA,11,891,99,7,1.681110143661499,0.08335614204406738,0.9888888888888887,0.9797979797979798,0.9818181818181817,0.9797979797979798,0.979735434843794
vowel,FPGA,11,891,99,8,1.6781907081604004,0.08312797546386719,1.0,1.0,1.0,1.0,1.0
vowel,FPGA,11,891,99,9,1.6750006675720215,0.08353781700134277,0.9888888888888887,0.9797979797979798,0.9808080808080808,0.9797979797979798,0.9797667073208869
vowel,FPGA,11,891,99,10,1.682924509048462,0.08449172973632812,0.9944444444444445,0.98989898989899,0.9909090909090909,0.98989898989899,0.9898677174218969
