Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
wine,FPGA,3,159,19,1,0.8291294574737549,0.08292269706726074,0.9210526315789473,0.8947368421052632,0.9248120300751881,0.8947368421052632,0.892982456140351
wine,FPGA,3,160,18,2,0.8368699550628662,0.0829172134399414,0.9041666666666667,0.8888888888888888,0.9037698412698413,0.8888888888888888,0.878988603988604
wine,FPGA,3,160,18,3,0.8371555805206299,0.0831763744354248,0.9227843915343916,0.8888888888888888,0.9206349206349207,0.8888888888888888,0.8934861434861434
wine,FPGA,3,160,18,4,0.8569085597991943,0.0832674503326416,0.8688492063492064,0.8333333333333334,0.8472222222222222,0.8333333333333334,0.8298738298738297
wine,FPGA,3,160,18,5,0.8335092067718506,0.08333873748779297,0.7916666666666667,0.7222222222222222,0.7116402116402116,0.7222222222222222,0.7136752136752137
wine,FPGA,3,160,18,6,0.8377008438110352,0.08337116241455078,0.8674603174603175,0.8333333333333334,0.8273809523809523,0.8333333333333334,0.8262108262108261
wine,FPGA,3,160,18,7,0.8362531661987305,0.08431386947631836,0.8055555555555556,0.7777777777777778,0.8585858585858586,0.7777777777777778,0.7283950617283951
wine,FPGA,3,160,18,8,0.8388311862945557,0.089202880859375,0.8232473544973545,0.7777777777777778,0.8009259259259259,0.7777777777777778,0.7798821548821547
wine,FPGA,3,161,17,9,0.8408658504486084,0.08339548110961914,0.8103991596638657,0.7058823529411765,0.8235294117647058,0.7058823529411765,0.6980392156862745
wine,FPGA,3,162,16,10,0.8332633972167969,0.08281731605529785,0.9229910714285714,0.875,0.8979166666666667,0.875,0.8708964646464646
