Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
winequality-red,FPGA,6,1437,162,1,2.2723746299743652,0.08240365982055664,0.6230903057344784,0.6234567901234568,0.6176807760141093,0.6234567901234568,0.6191163523944065
winequality-red,FPGA,6,1438,161,2,2.2320663928985596,0.0829763412475586,0.6659462915601022,0.6211180124223602,0.633179032655986,0.6211180124223602,0.6257931209962604
winequality-red,FPGA,6,1438,161,3,2.241316318511963,0.08267450332641602,0.6586891821946173,0.6273291925465838,0.6349617773530817,0.6273291925465838,0.6292595170249367
winequality-red,FPGA,6,1439,160,4,2.2918856143951416,0.08355379104614258,0.6746412568933823,0.6625,0.6530151790133641,0.6625,0.6549538121259432
winequality-red,FPGA,6,1439,160,5,2.26638126373291,0.08287549018859863,0.6395083869485293,0.575,0.5759312229849988,0.575,0.5751823417496732
winequality-red,FPGA,6,1439,160,6,2.276503562927246,0.08322787284851074,0.6435152803308825,0.625,0.6211508248232522,0.625,0.6228888018964355
winequality-red,FPGA,6,1439,160,7,2.253574848175049,0.08277463912963867,0.6917188074448529,0.6,0.5972297602894618,0.6,0.5984291329611484
winequality-red,FPGA,6,1439,160,8,2.2707629203796387,0.08539843559265137,0.6658239315257355,0.64375,0.6389914772727272,0.64375,0.6403729603729604
winequality-red,FPGA,6,1441,158,9,2.2957844734191895,0.08399581909179688,0.6562538855204529,0.6329113924050633,0.632845836611123,0.6329113924050633,0.6323511101888359
winequality-red,FPGA,6,1442,157,10,2.2488114833831787,0.08317112922668457,0.6310400658196007,0.5605095541401274,0.579861111111111,0.5605095541401274,0.5694386303580223
