Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
winequality-white,FPGA,7,4399,499,1,14.545696020126343,0.17612767219543457,0.6391698082942983,0.5250501002004008,0.5289065511392359,0.5250501002004008,0.5249672229134347
winequality-white,FPGA,7,4407,491,2,14.573448896408081,0.17336511611938477,0.6238532684044493,0.5519348268839104,0.5465813344611916,0.5519348268839104,0.5484501728058157
winequality-white,FPGA,7,4407,491,3,14.572850465774536,0.17304134368896484,0.642307841167882,0.5580448065173116,0.5696544879827613,0.5580448065173116,0.5611187272892311
winequality-white,FPGA,7,4408,490,4,14.579602718353271,0.17337250709533691,0.6070007405203677,0.5387755102040817,0.5365097145908525,0.5387755102040817,0.5375247245632526
winequality-white,FPGA,7,4408,490,5,14.590724468231201,0.17291784286499023,0.6484099351913867,0.5693877551020409,0.5762589794398842,0.5693877551020409,0.5711227365844839
winequality-white,FPGA,7,4409,489,6,14.571189641952515,0.17280888557434082,0.6565261398147718,0.5541922290388548,0.5561543893555837,0.5541922290388548,0.5536725243246194
winequality-white,FPGA,7,4409,489,7,14.571549415588379,0.17263293266296387,0.6575222686256083,0.5603271983640081,0.5625082950200082,0.5603271983640081,0.5604953682241779
winequality-white,FPGA,7,4411,487,8,14.588743925094604,0.17212700843811035,0.64761843457588,0.5564681724845996,0.563195075558409,0.5564681724845996,0.5592130721544234
winequality-white,FPGA,7,4412,486,9,14.595998048782349,0.17201805114746094,0.630342456879638,0.5432098765432098,0.5436125581852804,0.5432098765432098,0.5428444193673904
winequality-white,FPGA,7,4412,486,10,14.602977991104126,0.17186260223388672,0.6798534945076953,0.5349794238683128,0.5418171257994726,0.5349794238683128,0.538159814846323
