Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
wisconsin,FPGA,2,614,69,1,0.8284611701965332,0.08346772193908691,0.9458333333333334,0.9420289855072463,0.9446993855487282,0.9420289855072463,0.9425296442687746
wisconsin,FPGA,2,614,69,2,0.8348662853240967,0.08246374130249023,0.9472222222222221,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9562980959835723
wisconsin,FPGA,2,614,69,3,0.8298869132995605,0.08275437355041504,0.9263888888888888,0.9420289855072463,0.9425616012109999,0.9420289855072463,0.941398865784499
wisconsin,FPGA,2,614,69,4,0.836012601852417,0.08380937576293945,0.8847222222222221,0.9130434782608695,0.9160603371783496,0.9130434782608695,0.9109410478513161
wisconsin,FPGA,2,615,68,5,0.8389768600463867,0.08396792411804199,0.9469696969696969,0.9558823529411765,0.9558965615231602,0.9558823529411765,0.9556608682201067
wisconsin,FPGA,2,615,68,6,0.8337218761444092,0.08350014686584473,0.9166666666666667,0.9411764705882353,0.946078431372549,0.9411764705882353,0.9397814461753081
wisconsin,FPGA,2,615,68,7,0.8424232006072998,0.08452963829040527,0.9356060606060607,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
wisconsin,FPGA,2,615,68,8,0.840278148651123,0.08371543884277344,0.8106060606060606,0.8529411764705882,0.8572549019607844,0.8529411764705882,0.8471303414983015
wisconsin,FPGA,2,615,68,9,0.8355820178985596,0.08369016647338867,0.9053030303030304,0.9264705882352942,0.9281244412658679,0.9264705882352942,0.9252316311139841
wisconsin,FPGA,2,616,67,10,0.8448543548583984,0.08326005935668945,0.9555335968379447,0.9552238805970149,0.956120559990744,0.9552238805970149,0.955442888273234
