Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
yeast,FPGA,10,1330,154,1,1.8271682262420654,0.08258914947509766,0.745141297181311,0.564935064935065,0.5619613679192484,0.564935064935065,0.5605387366256931
yeast,FPGA,10,1332,152,2,1.866098165512085,0.0824587345123291,0.7801339541234027,0.6447368421052632,0.6428802830940988,0.6447368421052632,0.6428745032575389
yeast,FPGA,10,1333,151,3,1.8133957386016846,0.09089851379394531,0.7440661742294121,0.5629139072847682,0.5966985623460189,0.5629139072847682,0.5700387925089866
yeast,FPGA,10,1334,150,4,1.8214764595031738,0.08291912078857422,0.6950212878702768,0.47333333333333333,0.4828620268620269,0.47333333333333333,0.4750534133275059
yeast,FPGA,10,1336,148,5,1.8014850616455078,0.08324790000915527,0.6755628313791547,0.4594594594594595,0.4782244907244907,0.4594594594594595,0.45996065030547784
yeast,FPGA,10,1338,146,6,1.8162965774536133,0.08365821838378906,0.527135327753404,0.2465753424657534,0.28843380844101824,0.2465753424657534,0.2547629568840351
yeast,FPGA,10,1338,146,7,1.8342063426971436,0.0835716724395752,0.49686339618797654,0.18493150684931506,0.2274719800747198,0.18493150684931506,0.19757300180346107
yeast,FPGA,10,1338,146,8,1.8320095539093018,0.09059381484985352,0.5450756155899831,0.2671232876712329,0.30795268077451354,0.2671232876712329,0.27810071047273643
yeast,FPGA,10,1338,146,9,1.811448097229004,0.08388400077819824,0.5437429789182147,0.273972602739726,0.29902667627974044,0.273972602739726,0.265444449393309
yeast,FPGA,10,1339,145,10,1.8240368366241455,0.08340215682983398,0.5084155188030985,0.21379310344827587,0.2542341074360779,0.21379310344827587,0.22156079854809438
