Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
zoo,FPGA,7,88,13,1,0.8348073959350586,0.08295726776123047,0.8942307692307692,0.8461538461538461,0.8846153846153846,0.8461538461538461,0.8461538461538461
zoo,FPGA,7,89,12,2,0.8324217796325684,0.09032940864562988,1.0,1.0,1.0,1.0,1.0
zoo,FPGA,7,89,12,3,0.8339080810546875,0.08291959762573242,1.0,1.0,1.0,1.0,1.0
zoo,FPGA,7,90,11,4,0.8421683311462402,0.08326244354248047,0.9318181818181821,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.8787878787878789
zoo,FPGA,7,91,10,5,0.8374373912811279,0.08346748352050781,0.8499999999999999,0.8,0.8,0.8,0.8
zoo,FPGA,7,92,9,6,0.8313848972320557,0.08320260047912598,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,FPGA,7,92,9,7,0.8383755683898926,0.08316564559936523,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,FPGA,7,92,9,8,0.8356730937957764,0.08316302299499512,0.7361111111111112,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
zoo,FPGA,7,93,8,9,0.829308032989502,0.0829763412475586,0.7708333333333334,0.75,0.75,0.75,0.75
zoo,FPGA,7,93,8,10,0.8344292640686035,0.08316206932067871,0.7708333333333334,0.75,0.75,0.75,0.75
