Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
abalone,ARM,23,3742,432,1,177.79370245800237,2.0627161439988413,0.5338209071084525,0.11805555555555555,0.1457996513727784,0.11805555555555555,0.11909791551998655
abalone,ARM,28,3747,427,2,179.34761287199944,2.0756790660016122,0.5125739175816293,0.09133489461358314,0.12391024680453235,0.09133489461358314,0.08993167511340139
abalone,ARM,28,3751,423,3,179.90823616999842,2.0634605290033505,0.5295745682040927,0.13711583924349882,0.1630906479127515,0.13711583924349882,0.13277671804507787
abalone,ARM,28,3753,421,4,180.13627408199682,1.9972104710032,0.5058240028030956,0.08788598574821853,0.0984771505153085,0.08788598574821853,0.08426743760990647
abalone,ARM,28,3755,419,5,177.88328403199557,1.9768235349984025,0.5039059638432942,0.081145584725537,0.09378290788740415,0.081145584725537,0.07647821844109606
abalone,ARM,28,3757,417,6,179.6945559970045,2.0387537620044895,0.5195655410674636,0.10311750599520383,0.12441729005376512,0.10311750599520383,0.10103617716802037
abalone,ARM,28,3761,413,7,180.16435081300006,2.0022838139993837,0.528155552561843,0.11864406779661017,0.152244383597811,0.11864406779661017,0.11385774254999992
abalone,ARM,28,3765,409,8,181.11990654699912,1.9798357160034357,0.5054302658504701,0.09290953545232274,0.11070207676094669,0.09290953545232274,0.08945481792431877
abalone,ARM,28,3766,408,9,180.2007927980012,1.956794384001114,0.5028844471550528,0.08088235294117647,0.09991650732155292,0.08088235294117647,0.07967659882437093
abalone,ARM,28,3769,405,10,178.45236293799826,1.9243235749963787,0.5103162986189643,0.0962962962962963,0.15416473990650834,0.0962962962962963,0.10373549525382329
