Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
appendicitis,ARM,2,94,12,1,0.43491478699434083,0.003982557995186653,0.6666666666666666,0.8333333333333334,0.8636363636363636,0.8333333333333334,0.7999999999999999
appendicitis,ARM,2,95,11,2,0.424049165994802,0.003529325003910344,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
appendicitis,ARM,2,95,11,3,0.43832122000458185,0.003662127004645299,0.9444444444444444,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743
appendicitis,ARM,2,95,11,4,0.43089638899982674,0.0035763429987127893,0.638888888888889,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123
appendicitis,ARM,2,95,11,5,0.4367303740000352,0.003649222999229096,0.9444444444444444,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9155080213903743
appendicitis,ARM,2,96,10,6,0.4377711810011533,0.003326482998090796,0.6875,0.8,0.8,0.8,0.8
appendicitis,ARM,2,96,10,7,0.4406003710028017,0.003525866995914839,0.625,0.7,0.7523809523809524,0.7,0.72
appendicitis,ARM,2,96,10,8,0.43725061800068943,0.0032687389975762926,0.625,0.7,0.7523809523809524,0.7,0.72
appendicitis,ARM,2,96,10,9,0.43620628700591624,0.003296966999187134,0.9375,0.9,0.9333333333333333,0.9,0.9066666666666666
appendicitis,ARM,2,96,10,10,0.44005227900197497,0.003293164001661353,0.5625,0.6,0.7166666666666667,0.6,0.6380952380952382
