Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
automobile,ARM,6,141,18,1,1.0644205569988117,0.011043171005439945,0.5751851851851851,0.3888888888888889,0.35317460317460314,0.3888888888888889,0.362962962962963
automobile,ARM,6,141,18,2,1.0615882779966341,0.011724718002369627,0.5822222222222222,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.29629629629629634
automobile,ARM,6,141,18,3,1.0689429319972987,0.011842450003314298,0.5877777777777777,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32499999999999996
automobile,ARM,6,143,16,4,1.0917584009948769,0.009961280993593391,0.40546875,0.0625,0.046875,0.0625,0.053571428571428575
automobile,ARM,6,143,16,5,1.0655467940014205,0.010018182998464908,0.41119791666666666,0.0625,0.05208333333333333,0.0625,0.05681818181818181
automobile,ARM,6,143,16,6,1.076264839997748,0.009952770997188054,0.44427083333333334,0.125,0.1,0.125,0.10937500000000001
automobile,ARM,6,144,15,7,1.0784117709990824,0.009658874994784128,0.4043055555555556,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
automobile,ARM,6,144,15,8,1.0603351140016457,0.009040980999998283,0.5033333333333333,0.13333333333333333,0.07555555555555556,0.13333333333333333,0.09259259259259259
automobile,ARM,6,145,14,9,1.0769692719986779,0.008952099000453018,0.44196428571428575,0.14285714285714285,0.08571428571428573,0.14285714285714285,0.10714285714285714
automobile,ARM,6,146,13,10,1.0985315750003792,0.008153323004080448,0.530048076923077,0.15384615384615385,0.06923076923076923,0.15384615384615385,0.09523809523809525
