Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
balance,ARM,3,562,63,1,3.509609332002583,0.031046830001287162,0.6461412151067323,0.6507936507936508,0.7836356764928194,0.6507936507936508,0.7074352548036759
balance,ARM,3,562,63,2,3.488459555999725,0.03256135199626442,0.6962233169129721,0.746031746031746,0.7730746619635508,0.746031746031746,0.7590702947845804
balance,ARM,3,562,63,3,3.4680076519944123,0.030001530998561066,0.6391625615763545,0.6349206349206349,0.7840572126286411,0.6349206349206349,0.6996825396825398
balance,ARM,3,562,63,4,3.437329018001037,0.03075657200679416,0.6633825944170771,0.6825396825396826,0.7754578754578755,0.6825396825396826,0.7259686815242371
balance,ARM,3,562,63,5,3.4291804480017163,0.030283592001069337,0.6736453201970443,0.6984126984126984,0.7970311581422692,0.6984126984126984,0.7438283489496427
balance,ARM,3,562,63,6,3.3673792960034916,0.02956534099939745,0.6375205254515599,0.6349206349206349,0.7696313093138489,0.6349206349206349,0.6931065759637188
balance,ARM,3,562,63,7,3.3939684620054322,0.02957908700045664,0.6083743842364533,0.5873015873015873,0.7238325281803543,0.5873015873015873,0.6483862049899786
balance,ARM,3,562,63,8,3.432822151000437,0.03017189299862366,0.647783251231527,0.6507936507936508,0.7863756613756615,0.6507936507936508,0.712189278227014
balance,ARM,3,564,61,9,3.4418644289980875,0.029164225998101756,0.6436621779859486,0.639344262295082,0.796475085854986,0.639344262295082,0.7092253294760528
balance,ARM,3,565,60,10,3.4411802789982175,0.028533631993923336,0.6910714285714286,0.7333333333333333,0.8365663322185062,0.7333333333333333,0.7808278867102397
