Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
banana,ARM,2,4769,531,1,53.058178209998005,0.5038599420004175,0.8407520004588867,0.839924670433145,0.8415563465803184,0.839924670433145,0.8402365978625733
banana,ARM,2,4769,531,2,51.899950101000286,0.518987057999766,0.8739639200390054,0.8757062146892656,0.8756296083500912,0.8757062146892656,0.8756553755021281
banana,ARM,2,4769,531,3,51.863864475999435,0.5131046930000593,0.8553216508446383,0.8568738229755178,0.8568738229755178,0.8568738229755178,0.8568738229755178
banana,ARM,2,4769,531,4,51.543350771000405,0.5065053520011134,0.8512562021395589,0.8493408662900188,0.8520079502653656,0.8493408662900188,0.8496984637377395
banana,ARM,2,4770,530,5,51.90673280299961,0.5054804880019219,0.8644382410498447,0.8660377358490566,0.865990919942082,0.8660377358490566,0.8660112206010915
banana,ARM,2,4770,530,6,51.84699767300117,0.5130845019994013,0.8850581328421779,0.8849056603773585,0.8854873031635692,0.8849056603773585,0.8850415314235561
banana,ARM,2,4771,529,7,51.87337947500055,0.5123235870014469,0.8616120455465002,0.8638941398865785,0.863761479255934,0.8638941398865785,0.863777911116182
banana,ARM,2,4771,529,8,51.26382995399763,0.5101308379998954,0.8716403676088088,0.8714555765595463,0.8722036784574582,0.8714555765595463,0.8716296656530718
banana,ARM,2,4771,529,9,52.25025014100174,0.5232998350002163,0.8815169643373216,0.8827977315689981,0.8827977315689981,0.8827977315689981,0.8827977315689981
banana,ARM,2,4771,529,10,51.41623138000068,0.5090182599997206,0.8692561123634472,0.8714555765595463,0.8713367301763905,0.8714555765595463,0.8713458049430607
