Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
bands,ARM,2,328,37,1,2.606662149002659,0.02454308999585919,0.6490683229813664,0.7027027027027027,0.6962676962676962,0.7027027027027027,0.6849611760097694
bands,ARM,2,328,37,2,2.742269625996414,0.02690103700297186,0.7857142857142857,0.8378378378378378,0.8713886300093197,0.8378378378378378,0.825080325080325
bands,ARM,2,328,37,3,2.7053922019986203,0.027750917004595976,0.7779503105590062,0.8108108108108109,0.8116613116613117,0.8108108108108109,0.8052509652509653
bands,ARM,2,328,37,4,2.8085952999972505,0.028472883997892495,0.7484472049689441,0.7567567567567568,0.7608517608517609,0.7567567567567568,0.7582479030754893
bands,ARM,2,328,37,5,2.6385551120038144,0.02646007400471717,0.6413043478260869,0.6756756756756757,0.6682882882882882,0.6756756756756757,0.6699584199584198
bands,ARM,2,329,36,6,2.708798082996509,0.025006353003846016,0.6872909698996655,0.75,0.75,0.75,0.7324929971988794
bands,ARM,2,329,36,7,2.662819386998308,0.02472049700008938,0.6438127090301003,0.6944444444444444,0.6835470085470086,0.6944444444444444,0.683870649709159
bands,ARM,2,329,36,8,2.693931601999793,0.02497165800014045,0.802675585284281,0.8333333333333334,0.8321212121212122,0.8333333333333334,0.8298611111111112
bands,ARM,2,329,36,9,2.5997775549985818,0.024099705995467957,0.5568561872909699,0.5833333333333334,0.5903679653679652,0.5833333333333334,0.5864197530864197
bands,ARM,2,329,36,10,2.706105135999678,0.025132228998700157,0.6655518394648829,0.7222222222222222,0.713991769547325,0.7222222222222222,0.7080808080808081
