Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
breast,ARM,2,248,29,1,1.5426375410024775,0.014947089999623131,0.6472222222222221,0.7241379310344828,0.7102552619793998,0.7241379310344828,0.7134646962233169
breast,ARM,2,249,28,2,1.6296096320002107,0.015919563003990334,0.5999999999999999,0.6428571428571429,0.6698412698412699,0.6428571428571429,0.6532999164578112
breast,ARM,2,249,28,3,1.580114896998566,0.01509748100215802,0.3375,0.42857142857142855,0.46507936507936515,0.42857142857142855,0.44527986633249794
breast,ARM,2,249,28,4,1.6001680409972323,0.01534601300227223,0.5125,0.5714285714285714,0.6015873015873016,0.5714285714285714,0.5839598997493735
breast,ARM,2,249,28,5,1.6207392009964678,0.015636250005627517,0.45,0.5357142857142857,0.5522138680033416,0.5357142857142857,0.5434173669467788
breast,ARM,2,249,28,6,1.561331124001299,0.014432799005589914,0.5125,0.5714285714285714,0.6015873015873016,0.5714285714285714,0.5839598997493735
breast,ARM,2,250,27,7,1.6065362469962565,0.014630392994149588,0.5131578947368421,0.5185185185185185,0.5938135938135938,0.5185185185185185,0.5393618726952061
breast,ARM,2,250,27,8,1.629730290005682,0.015369957000075374,0.45723684210526316,0.5925925925925926,0.539057239057239,0.5925925925925926,0.560489194635536
breast,ARM,2,250,27,9,1.6330099320039153,0.014928838994819671,0.618421052631579,0.6666666666666666,0.6790123456790125,0.6666666666666666,0.6719660837307896
breast,ARM,2,250,27,10,1.5863300550045096,0.01455255100154318,0.6348684210526316,0.7407407407407407,0.7215488215488215,0.7407407407407407,0.7203113056771594
