Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
bupa,ARM,2,310,35,1,1.9011710939957993,0.016728968999814242,0.6833333333333335,0.6857142857142857,0.6889097744360902,0.6857142857142857,0.6867541061089448
bupa,ARM,2,310,35,2,1.9243631339995773,0.01694002099975478,0.7666666666666667,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285716
bupa,ARM,2,310,35,3,1.8757068650011206,0.0166572219968657,0.5083333333333333,0.5142857142857142,0.518327067669173,0.5142857142857142,0.5158927094410964
bupa,ARM,2,310,35,4,1.8696212759969058,0.016831246997753624,0.6,0.6,0.6078431372549019,0.6,0.6019736842105263
bupa,ARM,2,310,35,5,1.8856989440027974,0.016713459997845348,0.5833333333333333,0.6,0.5944055944055944,0.6,0.5952380952380952
bupa,ARM,2,311,34,6,1.9048984890032443,0.016645971998514142,0.5392857142857144,0.5588235294117647,0.5541909071320836,0.5588235294117647,0.556033795632074
bupa,ARM,2,311,34,7,1.8983218870052951,0.01634918199852109,0.5607142857142857,0.5588235294117647,0.5743944636678201,0.5588235294117647,0.5622852453971999
bupa,ARM,2,311,34,8,1.9536967759995605,0.017113269997935276,0.7678571428571428,0.7647058823529411,0.7732843137254902,0.7647058823529411,0.7663570691434468
bupa,ARM,2,311,34,9,1.9010570120008197,0.01636997099558357,0.65,0.6764705882352942,0.671239246686817,0.6764705882352942,0.6683447332421341
bupa,ARM,2,311,34,10,1.8712761540009524,0.01605842000572011,0.5642857142857143,0.5882352941176471,0.5802139037433155,0.5882352941176471,0.5822021116138762
