Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
car,ARM,4,1554,174,1,14.641272389999358,0.15028928399988217,0.8519337390810745,0.8045977011494253,0.8270254592330004,0.8045977011494253,0.8100620061370389
car,ARM,4,1554,174,2,14.807437422001385,0.14746539399493486,0.907183783359332,0.8448275862068966,0.8666779825575429,0.8448275862068966,0.850509568046128
car,ARM,4,1554,174,3,15.247712177006179,0.14936602499801666,0.8677315660074282,0.8333333333333334,0.8722336634957996,0.8333333333333334,0.8428968808557241
car,ARM,4,1554,174,4,15.058165900001768,0.15293786399706732,0.8901526605288361,0.8620689655172413,0.8812602627257801,0.8620689655172413,0.8684554308611491
car,ARM,4,1555,173,5,14.703804560005665,0.14456071599852294,0.9208173661114999,0.8901734104046243,0.9080924855491331,0.8901734104046243,0.8954181714471429
car,ARM,4,1556,172,6,15.180339427002764,0.15584661599859828,0.8754424881956316,0.8604651162790697,0.8885387867946007,0.8604651162790697,0.8698686688618623
car,ARM,4,1556,172,7,15.440842006995808,0.15021297500061337,0.8721547706957188,0.8430232558139535,0.8612423054283519,0.8430232558139535,0.8492179655640635
car,ARM,4,1556,172,8,14.691857584999525,0.1494088780018501,0.8752966195278703,0.8255813953488372,0.8431686936008813,0.8255813953488372,0.8308694791680428
car,ARM,4,1556,172,9,14.637383542998577,0.1489508409940754,0.852755768272626,0.8488372093023255,0.8638635105204873,0.8488372093023255,0.8538079230786807
car,ARM,4,1557,171,10,15.394453371001873,0.15080632599710952,0.8125521987269658,0.7953216374269005,0.8352215649871192,0.7953216374269005,0.8093996616602691
