Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
chess,ARM,2,2876,320,1,77.18687499700172,0.8880498649959918,0.9180462604203359,0.91875,0.9189236724361237,0.91875,0.9186926897605705
chess,ARM,2,2876,320,2,86.87265095999464,1.0198342110015801,0.9346600915815427,0.934375,0.9345816721388367,0.934375,0.9343961737013462
chess,ARM,2,2876,320,3,82.41285664199677,0.9558073470034287,0.9373801416774294,0.9375,0.9375,0.9375,0.9375
chess,ARM,2,2876,320,4,80.83347058199433,0.9249903649979387,0.9289460295096083,0.928125,0.9290820312499999,0.928125,0.9281594097761623
chess,ARM,2,2876,320,5,78.28605689200049,0.8925554660017951,0.9499041133419436,0.95,0.95,0.95,0.95
chess,ARM,2,2876,320,6,82.60761638300028,0.9708675920046517,0.9267543344683183,0.928125,0.9293146306818182,0.928125,0.9279789513207881
chess,ARM,2,2876,320,7,80.59499907199643,0.9281361640023533,0.9474580251262181,0.946875,0.9473841127519925,0.946875,0.946898364428894
chess,ARM,2,2877,319,8,81.65743113800272,0.9468111780006438,0.9371651433974156,0.9373040752351097,0.9373040752351097,0.9373040752351097,0.9373040752351097
chess,ARM,2,2877,319,9,82.96798807100276,0.9480206599982921,0.9410455404979514,0.9404388714733543,0.9409596119823809,0.9404388714733543,0.9404681654644258
chess,ARM,2,2878,318,10,78.22527080299915,0.903653718996793,0.9501426759670261,0.949685534591195,0.9500259814725224,0.949685534591195,0.9497054563782589
