Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
dermatology,ARM,6,320,38,1,2.446724784997059,0.025138960998447146,0.9385307017543857,0.8947368421052632,0.91203007518797,0.8947368421052632,0.8993481728035504
dermatology,ARM,6,322,36,2,2.3409952849979163,0.022069795995776076,0.927731481481481,0.8888888888888888,0.9027777777777778,0.8888888888888888,0.890652557319224
dermatology,ARM,6,322,36,3,2.4174153589992784,0.02244025599793531,0.9176599326599325,0.8611111111111112,0.873015873015873,0.8611111111111112,0.8657916157916158
dermatology,ARM,6,322,36,4,2.4584619429952,0.023707641004875768,0.9696464646464646,0.9444444444444444,0.9576719576719577,0.9444444444444444,0.9460860127526795
dermatology,ARM,6,322,36,5,2.464705294005398,0.02362800400442211,0.9816666666666665,0.9722222222222222,0.976851851851852,0.9722222222222222,0.9719416386083053
dermatology,ARM,6,322,36,6,2.3525884600021527,0.022564731996681076,0.9301851851851847,0.8888888888888888,0.9071428571428571,0.8888888888888888,0.892817059483726
dermatology,ARM,6,322,36,7,2.3977026029970148,0.022288961001322605,0.9649537037037037,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
dermatology,ARM,6,322,36,8,2.3539628040016396,0.022156245999212842,0.9299074074074073,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
dermatology,ARM,6,324,34,9,2.359869712003274,0.020352632003778126,0.9024509803921568,0.8823529411764706,0.9102941176470588,0.8823529411764706,0.8776844070961718
dermatology,ARM,6,324,34,10,2.405950065003708,0.02123524300259305,0.9259803921568626,0.9117647058823529,0.9235294117647058,0.9117647058823529,0.9117647058823528
