Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
ecoli,ARM,8,298,38,1,1.6444443560030777,0.015857241000048816,0.7592105263157898,0.6842105263157895,0.6553884711779449,0.6842105263157895,0.6688497261252679
ecoli,ARM,8,298,38,2,1.6855020459988737,0.01631351200194331,0.7956296992481204,0.7631578947368421,0.7382205513784461,0.7631578947368421,0.7400873979821349
ecoli,ARM,8,301,35,3,1.7095964109976194,0.015397275994473603,0.6741071428571429,0.5428571428571428,0.6714285714285714,0.5428571428571428,0.5931972789115647
ecoli,ARM,8,302,34,4,1.6898220639995998,0.014362329995492473,0.6761029411764704,0.5882352941176471,0.5367647058823529,0.5882352941176471,0.5607843137254902
ecoli,ARM,8,302,34,5,1.708965582998644,0.01473647999955574,0.6714338235294116,0.5882352941176471,0.5773809523809524,0.5882352941176471,0.5779411764705882
ecoli,ARM,8,304,32,6,1.7261402380026993,0.013939021002443042,0.6272670200892857,0.46875,0.5446428571428571,0.46875,0.5038461538461538
ecoli,ARM,8,304,32,7,1.739598735999607,0.014887138997437432,0.667982700892857,0.5625,0.6136675824175825,0.5625,0.5868055555555556
ecoli,ARM,8,305,31,8,1.7174456259963335,0.013496280000254046,0.6850038402457759,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
ecoli,ARM,8,305,31,9,1.7363330759981181,0.013484135997714475,0.6915514592933949,0.6129032258064516,0.5747800586510263,0.6129032258064516,0.5854241338112306
ecoli,ARM,8,305,31,10,1.7002196750036092,0.013145263001206331,0.6712461597542243,0.5806451612903226,0.6021505376344086,0.5806451612903226,0.5865776789024842
