Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
flare,ARM,6,892,174,1,23.668901892000576,0.7485405280021951,0.8073994252873562,0.7816091954022989,0.7797847108191936,0.7816091954022989,0.779087027914614
flare,ARM,6,964,102,2,25.859950827005378,0.4533136750033009,0.7392660189075629,0.6176470588235294,0.6582836032963909,0.6176470588235294,0.6326088827966174
flare,ARM,6,965,101,3,27.090639677997387,0.4595782659962424,0.7468863448844885,0.6237623762376238,0.6238258441228738,0.6237623762376238,0.6211118006210559
flare,ARM,6,966,100,4,23.32525620600063,0.39345408900408074,0.7444375000000002,0.64,0.6615658711997386,0.64,0.649605649420879
flare,ARM,6,966,100,5,25.67811722299666,0.4320207760029007,0.73475,0.62,0.6174891774891775,0.62,0.6162606516290726
flare,ARM,6,968,98,6,28.077719173998048,0.46852526599832345,0.6535115504535148,0.5204081632653061,0.4985780026296233,0.5204081632653061,0.503438633121474
flare,ARM,6,968,98,7,26.548092500997882,0.44094446399685694,0.7594610969387755,0.6428571428571429,0.6596938775510205,0.6428571428571429,0.6483302998618803
flare,ARM,6,968,98,8,29.075884210004006,0.48691121300362283,0.7620734126984127,0.673469387755102,0.6632653061224489,0.673469387755102,0.6493917764149995
flare,ARM,6,968,98,9,26.0805103590028,0.427664310002001,0.748919005102041,0.6326530612244898,0.6556201427939597,0.6326530612244898,0.6364495856414575
flare,ARM,6,969,97,10,24.63481780100119,0.400772829001653,0.7654610694008666,0.6597938144329897,0.6688430698739978,0.6597938144329897,0.6580967547525255
