Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
german,ARM,2,900,100,1,16.1431369599959,0.17197617000056198,0.5119047619047619,0.57,0.5896703296703297,0.57,0.5785754985754986
german,ARM,2,900,100,2,16.923134331002075,0.19617545299843187,0.5952380952380951,0.66,0.66,0.66,0.66
german,ARM,2,900,100,3,16.682284554000944,0.1935228049987927,0.5476190476190477,0.62,0.62,0.62,0.62
german,ARM,2,900,100,4,15.74458730200422,0.18003029499959666,0.5547619047619048,0.63,0.626469159786304,0.63,0.6281764635172498
german,ARM,2,900,100,5,16.427676712999528,0.17346569299843395,0.6238095238095237,0.66,0.6802083333333333,0.66,0.6678426051560379
german,ARM,2,900,100,6,16.709480575998896,0.1807573650003178,0.5595238095238094,0.65,0.6333333333333333,0.65,0.6401253918495297
german,ARM,2,900,100,7,16.55326531099854,0.17354712899395963,0.5666666666666667,0.62,0.6344028520499109,0.62,0.6262867647058823
german,ARM,2,900,100,8,16.49856218000059,0.1821181470004376,0.4904761904761905,0.54,0.5723259762308999,0.54,0.5531194295900178
german,ARM,2,900,100,9,16.806525921994762,0.1756883790003485,0.5190476190476191,0.58,0.5955436720142603,0.58,0.5869485294117647
german,ARM,2,900,100,10,16.34443754699896,0.17681942100171,0.5071428571428571,0.59,0.5860611947547353,0.59,0.5879793244380334
