Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
glass,ARM,6,191,23,1,1.0524668250000104,0.009426632001122925,0.7867236024844722,0.6521739130434783,0.6397515527950312,0.6521739130434783,0.6312020460358055
glass,ARM,6,191,23,2,1.0509364419995109,0.009766919996764045,0.866394927536232,0.782608695652174,0.8140096618357487,0.782608695652174,0.7901239425536102
glass,ARM,6,191,23,3,1.0634384770019096,0.00962643200182356,0.8604813664596275,0.782608695652174,0.8198757763975155,0.782608695652174,0.7784679089026916
glass,ARM,6,192,22,4,1.058486426001764,0.009218298000632785,0.9405844155844155,0.8636363636363636,0.9141414141414141,0.8636363636363636,0.8615297358612867
glass,ARM,6,192,22,5,1.0472206409976934,0.009101263000047766,0.7779626623376621,0.6363636363636364,0.6085858585858586,0.6363636363636364,0.6109848484848485
glass,ARM,6,192,22,6,1.0540586719944258,0.009032892005052418,0.8286120129870131,0.7727272727272727,0.7435064935064936,0.7727272727272727,0.7532467532467532
glass,ARM,6,193,21,7,1.0707168910012115,0.008843096002237871,0.7683673469387754,0.7142857142857143,0.6507936507936508,0.7142857142857143,0.6785714285714286
glass,ARM,6,194,20,8,1.0425634720013477,0.00793988799705403,0.6649999999999999,0.5,0.56,0.5,0.5153846153846153
glass,ARM,6,194,20,9,1.0628872890010825,0.008241007002652623,0.8314285714285716,0.75,0.74,0.75,0.730392156862745
glass,ARM,6,196,18,10,1.0801559570027166,0.007486185000743717,0.716765873015873,0.6111111111111112,0.6481481481481481,0.6111111111111112,0.6282051282051282
