Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
hayes-roth,ARM,3,142,18,1,0.7566318509925622,0.007870376997743733,0.7105654761904762,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.62010582010582
hayes-roth,ARM,3,143,17,2,0.7511455950007075,0.007418950001010671,0.6911764705882353,0.5882352941176471,0.5934640522875817,0.5882352941176471,0.5808823529411765
hayes-roth,ARM,3,143,17,3,0.7817838949995348,0.007936157009680755,0.8865546218487395,0.8823529411764706,0.8897058823529411,0.8823529411764706,0.8784313725490196
hayes-roth,ARM,3,143,17,4,0.7729716439935146,0.0077017889998387545,0.6995798319327733,0.7058823529411765,0.6051693404634582,0.7058823529411765,0.6370035193564606
hayes-roth,ARM,3,144,16,5,0.8032938780088443,0.00760909600649029,0.8113839285714286,0.8125,0.84375,0.8125,0.7901785714285714
hayes-roth,ARM,3,145,15,6,0.7731013599986909,0.00666298701253254,0.6375000000000001,0.6,0.4785714285714286,0.6,0.5318681318681319
hayes-roth,ARM,3,145,15,7,0.7884775690035895,0.00684715699753724,0.8166666666666667,0.7333333333333333,0.84,0.7333333333333333,0.7
hayes-roth,ARM,3,145,15,8,0.7750444600096671,0.006836294996901415,0.7875000000000001,0.7333333333333333,0.77,0.7333333333333333,0.7366233766233765
hayes-roth,ARM,3,145,15,9,0.792923855013214,0.0069296829897211865,0.8041666666666667,0.8,0.8666666666666667,0.8,0.7836363636363636
hayes-roth,ARM,3,145,15,10,0.7638467859942466,0.00662668100267183,0.7416666666666667,0.6666666666666666,0.6952380952380952,0.6666666666666666,0.6728205128205128
