Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
heart,ARM,2,243,27,1,1.6321118280029623,0.014552339998772368,0.6333333333333333,0.6296296296296297,0.6385836385836385,0.6296296296296297,0.6306471306471306
heart,ARM,2,243,27,2,1.6475464980030665,0.014765359010198154,0.5583333333333333,0.5555555555555556,0.5641025641025641,0.5555555555555556,0.5567765567765568
heart,ARM,2,243,27,3,1.6235862509929575,0.014517456002067775,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,4,1.6401585349958623,0.014755651005543768,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,5,1.5992290430003777,0.014390957003342919,0.6666666666666667,0.6666666666666666,0.6703296703296705,0.6666666666666666,0.6675862068965517
heart,ARM,2,243,27,6,1.6002719179959968,0.014275282999733463,0.6250000000000001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
heart,ARM,2,243,27,7,1.623635589989135,0.01468848499644082,0.6250000000000001,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
heart,ARM,2,243,27,8,1.636736212996766,0.014459430996794254,0.6166666666666667,0.6296296296296297,0.6261437908496732,0.6296296296296297,0.624368686868687
heart,ARM,2,243,27,9,1.633340397005668,0.014635728002758697,0.6833333333333333,0.7037037037037037,0.7134502923976608,0.7037037037037037,0.6915032679738563
heart,ARM,2,243,27,10,1.60414077299356,0.01432370398833882,0.7000000000000001,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
