Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
hepatitis,ARM,2,71,9,1,0.34043327199469786,0.00324103599996306,0.8571428571428572,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7962962962962963
hepatitis,ARM,2,71,9,2,0.3563829120103037,0.0034909360110759735,0.6785714285714286,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
hepatitis,ARM,2,71,9,3,0.34944253200956155,0.003426194001804106,0.5,0.7777777777777778,0.6049382716049383,0.7777777777777778,0.6805555555555557
hepatitis,ARM,2,72,8,4,0.35365618599462323,0.003051926993066445,0.8571428571428572,0.75,0.9166666666666666,0.75,0.7916666666666666
hepatitis,ARM,2,72,8,5,0.365115580993006,0.0031485679937759414,0.9285714285714286,0.875,0.9375,0.875,0.891025641025641
hepatitis,ARM,2,72,8,6,0.37294607200601604,0.003135877996101044,0.42857142857142855,0.75,0.75,0.75,0.75
hepatitis,ARM,2,72,8,7,0.35824785100703593,0.003072472012718208,0.9285714285714286,0.875,0.9375,0.875,0.891025641025641
hepatitis,ARM,2,73,7,8,0.3671526630059816,0.0027950669900747016,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
hepatitis,ARM,2,73,7,9,0.3808573919959599,0.0028072639979654923,0.9166666666666667,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745
hepatitis,ARM,2,73,7,10,0.3670395629887935,0.0027094550023321062,0.4166666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
