Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
housevotes,ARM,2,208,24,1,1.0034778219996952,0.008764240992604755,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,ARM,2,208,24,2,1.012113937002141,0.008894054000847973,0.8776223776223776,0.875,0.8784722222222223,0.875,0.8752173913043477
housevotes,ARM,2,208,24,3,0.9910388669959502,0.008824977005133405,0.9160839160839163,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
housevotes,ARM,2,208,24,4,0.951819890004117,0.008333242003573105,0.8706293706293707,0.875,0.8767857142857144,0.875,0.8743386243386245
housevotes,ARM,2,209,23,5,1.0347505760000786,0.008711118003702722,0.9583333333333333,0.9565217391304348,0.9601449275362318,0.9565217391304348,0.9565217391304348
housevotes,ARM,2,209,23,6,1.0108605829882436,0.008676158002344891,0.9128787878787878,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
housevotes,ARM,2,209,23,7,0.9643375159939751,0.008048207004321739,0.8712121212121213,0.8695652173913043,0.8728590250329382,0.8695652173913043,0.8695652173913043
housevotes,ARM,2,209,23,8,1.0277365380025003,0.008618879990535788,0.9545454545454546,0.9565217391304348,0.959866220735786,0.9565217391304348,0.9563561076604555
housevotes,ARM,2,210,22,9,1.0293657040019752,0.008370492010726593,0.9083333333333332,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
housevotes,ARM,2,210,22,10,0.9750819950131699,0.0077394880063366145,0.9083333333333332,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
